Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,2,2,7,15,33,68,137,186,274,293,312,306,265,242,253,196,138,131,81,59
Chelsea,264,428,542,498,477,332,210,123,62,32,18,3,5,3,2,0,1,0,0,0
Everton,6,14,53,98,149,224,353,439,391,298,234,212,149,132,95,63,41,27,18,4
Leicester,7,20,46,78,148,250,328,398,393,332,245,202,150,132,92,71,57,33,12,6
Man United,182,372,455,490,469,400,271,183,73,41,36,15,9,2,1,0,1,0,0,0
Norwich,0,0,0,3,3,9,38,58,97,131,204,233,252,267,272,330,285,317,296,205
Arsenal,896,805,530,334,211,107,75,24,14,2,0,1,0,0,1,0,0,0,0,0
Newcastle,0,0,1,3,1,10,20,46,69,113,159,199,236,258,287,327,328,357,338,248
Stoke,0,1,1,7,12,43,67,139,190,248,279,289,264,271,287,229,236,181,150,106
West Brom,0,0,0,2,0,8,16,35,66,62,110,156,216,233,270,300,376,371,418,361
Aston Villa,0,0,0,1,0,1,0,6,12,30,34,46,86,102,131,199,270,407,628,1047
Southampton,17,56,136,211,284,463,484,423,299,238,112,93,65,39,26,21,14,16,3,0
Sunderland,0,0,0,2,1,3,4,17,39,66,76,110,140,213,239,282,345,392,496,575
Swansea,0,0,2,12,19,40,73,146,196,254,305,296,281,293,242,237,216,180,122,86
Tottenham,155,283,427,479,495,438,298,171,119,59,35,13,19,3,2,1,3,0,0,0
Watford,0,0,1,2,7,18,37,62,97,150,202,216,274,261,303,314,328,299,245,184
West Ham,0,0,3,15,25,58,108,166,251,278,321,298,292,258,234,235,168,134,100,56
Crystal Palace,0,0,4,4,26,47,119,161,243,301,288,294,281,283,255,193,190,155,93,63
Man City,1323,743,419,244,150,71,31,16,3,0,0,0,0,0,0,0,0,0,0,0
Liverpool,148,276,373,502,490,410,331,201,112,72,30,18,16,8,8,2,3,0,0,0
