Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,3,1,3,14,32,35,71,111,131,110,122,109,112,87,89,70,51,28,21
Chelsea,94,168,209,210,178,142,92,54,27,12,8,3,2,1,0,0,0,0,0,0
Everton,1,8,19,37,52,119,139,175,150,123,103,80,61,47,32,21,17,9,4,3
Leicester,2,9,17,38,50,101,140,147,172,128,115,70,66,44,36,23,16,12,10,4
Man United,64,146,199,177,179,172,117,71,42,13,12,3,1,1,2,0,0,1,0,0
Norwich,0,1,1,0,0,6,11,29,41,55,76,92,87,110,112,130,122,128,108,91
Arsenal,359,312,202,162,93,42,19,10,1,0,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,3,1,13,20,33,41,53,81,102,94,113,117,131,130,172,96
Stoke,0,0,0,3,14,15,19,45,76,95,90,111,127,119,107,103,92,83,64,37
West Brom,0,0,0,0,1,3,7,10,18,33,43,82,66,99,112,122,154,151,158,141
Aston Villa,0,0,0,0,0,1,0,3,5,13,16,21,26,47,72,71,118,149,193,465
Southampton,9,25,49,85,142,155,220,171,106,88,52,35,28,13,19,0,3,0,0,0
Sunderland,0,0,0,0,0,2,2,2,10,26,29,35,53,69,90,126,147,171,226,212
Swansea,0,0,1,2,5,16,39,57,70,117,120,118,118,119,120,94,77,62,42,23
Tottenham,61,112,173,203,201,161,114,73,48,19,20,6,4,1,2,2,0,0,0,0
Watford,0,0,0,0,1,9,16,24,33,58,89,77,122,105,132,127,114,130,104,59
West Ham,0,0,0,5,10,15,34,93,111,108,128,133,116,116,71,88,58,47,48,19
Crystal Palace,0,0,2,6,4,25,37,64,91,114,118,124,108,100,91,87,81,76,43,29
Man City,563,296,144,86,65,26,14,2,3,1,0,0,0,0,0,0,0,0,0,0
Liverpool,47,120,183,183,188,157,132,79,52,25,18,7,4,3,2,0,0,0,0,0
