Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,1,1,1,3,4,8,9,8,6,6,13,10,7,4,9,4,4,2
Chelsea,7,11,24,23,11,11,9,1,1,1,1,0,0,0,0,0,0,0,0,0
Everton,1,1,1,4,4,8,11,10,11,7,9,10,7,3,5,3,2,2,1,0
Leicester,0,1,2,1,8,8,13,17,14,11,4,6,3,4,2,2,1,2,1,0
Man United,9,11,11,12,22,18,8,5,3,0,0,1,0,0,0,0,0,0,0,0
Norwich,0,0,0,1,0,0,0,4,3,10,3,10,8,6,8,8,17,9,7,6
Arsenal,24,35,15,9,7,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,0,0,0,3,7,4,8,6,5,5,10,8,7,17,9,11
Stoke,0,0,0,0,0,1,2,3,5,8,5,14,9,6,9,11,9,9,6,3
West Brom,0,0,0,0,0,1,1,1,3,0,4,3,6,9,10,10,15,11,14,12
Aston Villa,0,0,0,0,0,0,0,1,0,0,0,2,1,5,6,11,8,10,22,34
Southampton,1,4,4,7,8,14,14,13,15,3,7,4,3,2,0,0,0,0,0,1
Sunderland,0,0,0,0,0,0,0,1,0,4,3,4,3,4,11,14,8,13,19,16
Swansea,0,0,0,1,0,0,3,4,6,6,14,9,13,11,10,6,8,7,2,0
Tottenham,3,9,18,17,19,12,9,9,1,1,2,0,0,0,0,0,0,0,0,0
Watford,0,0,0,1,0,1,1,1,1,6,10,4,13,15,9,6,7,9,8,8
West Ham,0,0,0,0,0,1,5,3,6,9,9,13,13,9,5,12,5,2,5,3
Crystal Palace,0,0,0,0,0,0,4,8,11,15,14,7,3,11,8,5,3,5,2,4
Man City,52,17,14,5,5,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0
Liverpool,3,11,10,18,15,17,7,7,3,6,1,1,0,0,0,0,1,0,0,0
