Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,0,1,5,4,6,15,25,25,14,14,24,16,19,11,9,4,4,4
Chelsea,23,31,39,40,28,19,9,2,3,5,0,1,0,0,0,0,0,0,0,0
Everton,0,0,3,2,7,15,26,26,29,16,19,17,19,7,5,4,2,2,1,0
Leicester,1,0,1,9,6,13,24,24,31,21,17,12,17,6,5,3,4,4,2,0
Man United,8,26,33,37,27,24,22,12,4,4,2,1,0,0,0,0,0,0,0,0
Norwich,0,0,0,0,2,1,2,4,4,8,10,12,11,25,23,22,26,18,22,10
Arsenal,51,62,29,26,14,9,4,3,1,1,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,1,1,0,5,3,5,13,18,11,13,20,18,19,27,26,20
Stoke,0,0,1,0,1,2,5,13,11,11,14,15,21,23,21,18,19,12,8,5
West Brom,0,0,0,0,0,1,0,1,5,0,8,12,7,17,22,27,25,30,24,21
Aston Villa,0,0,0,0,0,0,0,1,2,1,3,4,1,7,9,9,17,25,39,82
Southampton,2,6,4,18,21,35,33,19,15,21,9,11,3,2,0,1,0,0,0,0
Sunderland,0,0,0,0,0,0,0,1,3,9,6,5,8,15,13,20,24,28,29,39
Swansea,0,0,0,0,0,3,8,15,8,11,24,19,16,26,15,19,13,13,7,3
Tottenham,17,14,36,22,36,27,24,12,6,5,1,0,0,0,0,0,0,0,0,0
Watford,0,0,0,0,2,0,2,10,4,14,13,19,12,15,26,21,14,17,24,7
West Ham,0,0,0,0,0,3,10,9,19,15,26,20,22,14,12,12,14,9,9,6
Crystal Palace,0,0,0,1,3,3,3,13,16,23,19,20,27,14,10,15,14,11,5,3
Man City,93,44,21,17,14,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,5,17,33,27,33,33,20,13,11,5,2,0,1,0,0,0,0,0,0,0
