Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,6,5,20,49,86,138,193,190,192,211,197,187,137,126,93,86,51,33
Chelsea,198,293,349,386,273,208,137,76,35,24,11,9,1,0,0,0,0,0,0,0
Everton,1,21,22,60,112,157,249,292,258,210,149,135,100,79,58,46,25,14,7,5
Leicester,5,13,28,67,86,141,244,282,282,180,197,131,86,70,62,51,37,20,14,4
Man United,130,270,298,318,316,275,170,94,51,35,16,10,10,5,0,2,0,0,0,0
Norwich,0,0,0,2,4,12,19,45,67,120,125,146,191,180,211,193,200,179,167,139
Arsenal,597,554,363,222,124,81,24,21,9,2,2,1,0,0,0,0,0,0,0,0
Newcastle,0,0,0,1,1,8,17,29,56,84,86,120,156,171,205,207,195,239,232,193
Stoke,0,0,2,1,9,27,39,88,111,161,166,208,180,201,169,171,145,140,121,61
West Brom,0,0,0,0,3,3,16,17,29,55,75,103,144,154,174,203,232,274,244,274
Aston Villa,0,0,0,0,1,0,0,4,12,15,28,31,47,66,100,152,200,233,438,673
Southampton,10,37,84,130,208,295,312,272,232,143,94,68,50,23,14,7,10,7,1,3
Sunderland,0,0,0,0,0,1,1,4,22,36,66,64,88,141,160,189,246,293,342,347
Swansea,0,1,1,5,14,29,51,98,129,167,199,194,205,186,172,163,140,102,82,62
Tottenham,99,186,275,307,342,309,227,112,72,34,15,11,4,3,3,1,0,0,0,0
Watford,0,0,0,2,4,8,17,39,64,109,147,160,155,188,194,197,216,201,174,125
West Ham,1,0,2,6,23,31,83,134,157,185,205,198,182,170,163,139,123,101,60,37
Crystal Palace,0,1,2,8,23,32,73,95,133,200,197,184,192,172,177,153,137,110,67,44
Man City,863,483,298,170,97,48,18,18,3,2,0,0,0,0,0,0,0,0,0,0
Liverpool,96,141,270,310,340,286,217,142,85,48,30,16,12,4,1,0,1,1,0,0
