Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,1,3,2,16,31,67,104,153,191,216,277,253,241,236,194,158,141,97,77,42
Chelsea,228,365,448,426,350,306,195,96,38,22,10,8,2,3,3,0,0,0,0,0
Everton,6,16,34,77,122,226,306,347,329,244,210,153,124,89,79,58,40,19,14,7
Leicester,5,12,39,77,137,183,295,359,354,275,197,153,128,89,60,52,38,25,13,9
Man United,147,274,375,415,402,299,259,148,103,38,24,5,5,3,3,0,0,0,0,0
Norwich,0,0,1,3,7,14,30,56,89,127,151,182,187,218,241,256,267,273,227,171
Arsenal,794,681,432,253,168,86,44,24,12,3,1,1,0,1,0,0,0,0,0,0
Newcastle,1,0,0,2,0,4,21,47,50,91,138,173,180,245,229,244,288,285,293,209
Stoke,0,1,1,2,11,31,53,80,150,184,224,225,269,235,250,211,204,157,134,78
West Brom,0,0,0,0,1,8,9,27,40,63,91,148,179,166,215,289,281,315,366,302
Aston Villa,0,0,0,0,1,0,4,6,5,19,23,49,56,104,140,184,213,335,463,898
Southampton,15,46,109,173,267,370,378,329,274,182,118,79,74,41,20,8,10,5,2,0
Sunderland,0,0,0,0,1,0,10,9,24,52,48,114,99,136,185,247,293,369,426,487
Swansea,0,2,2,4,13,28,84,110,166,232,245,237,247,244,242,197,160,133,112,42
Tottenham,108,237,347,442,429,360,222,162,95,41,26,9,8,5,2,6,1,0,0,0
Watford,0,0,0,3,7,14,24,55,90,140,173,196,223,249,259,249,254,228,184,152
West Ham,1,2,6,6,20,43,86,152,195,278,254,248,243,224,185,164,133,130,88,42
Crystal Palace,0,1,2,9,22,41,81,159,178,236,254,252,222,208,190,177,177,129,101,61
Man City,1094,608,392,182,127,51,27,14,5,0,0,0,0,0,0,0,0,0,0,0
Liverpool,100,252,310,410,384,369,268,167,112,57,36,15,13,4,3,0,0,0,0,0
