Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,4,34,97,249,562,1093,2015,3131,4160,4878,5047,5127,4802,4560,3759,3406,2710,1972,1461,933
Chelsea,4437,7370,9013,8778,7543,5542,3376,1925,992,485,255,138,70,38,30,4,2,2,0,0
Everton,95,335,788,1583,2716,4270,6247,7004,6294,5111,4135,3195,2378,1880,1362,1041,762,452,255,97
Leicester,99,307,788,1490,2459,3931,5721,6827,6469,5430,4089,3308,2644,1986,1543,1112,815,560,293,129
Man United,3080,5618,7772,8343,8016,6670,4493,2782,1564,760,429,241,113,62,25,20,5,6,1,0
Norwich,1,2,13,32,100,239,567,1129,1829,2460,3126,3563,4091,4422,4821,5113,5221,5069,4730,3472
Arsenal,15518,13580,8630,5436,3337,1883,911,423,175,65,25,12,3,1,1,0,0,0,0,0
Newcastle,1,0,2,18,52,168,393,775,1358,2012,2642,3342,3787,4444,4792,5117,5514,5718,5426,4439
Stoke,1,4,31,93,253,598,1151,1930,2740,3959,4425,4855,4829,4673,4610,4377,3943,3258,2557,1713
West Brom,0,1,4,4,33,94,218,488,841,1260,1898,2551,3361,3906,4537,5096,5772,6507,6977,6452
Aston Villa,0,0,0,0,3,19,47,107,240,385,657,907,1263,1849,2492,3425,4752,6704,9856,17294
Southampton,306,903,1955,3297,4885,6893,8137,7298,5576,3708,2469,1672,1116,719,466,290,162,90,50,8
Sunderland,0,0,0,4,17,42,98,262,546,904,1350,1748,2402,3140,3982,4883,5724,7095,8643,9160
Swansea,2,6,48,124,280,704,1366,2350,3468,4306,5021,4789,4796,4678,4528,3972,3443,2787,2079,1253
Tottenham,2271,4576,7020,8056,8370,7296,5159,3178,1883,966,531,324,175,82,66,26,12,6,3,0
Watford,1,3,9,38,116,297,658,1055,1870,2529,3299,3875,4353,4726,4890,5062,5053,4904,4170,3092
West Ham,3,26,83,183,473,1009,1932,3009,4058,4936,5208,5016,4786,4282,3940,3336,2902,2300,1655,863
Crystal Palace,1,15,67,171,377,888,1670,2769,3906,4677,4785,4965,4808,4435,4100,3679,3189,2564,1839,1095
Man City,21959,12717,7009,4123,2217,1139,481,224,76,35,13,3,1,1,2,0,0,0,0,0
Liverpool,2221,4503,6671,7978,8191,7225,5360,3334,1955,1134,596,369,222,116,54,41,19,6,5,0
