Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,15,24,57,120,177,334,449,505,472,508,433,439,360,374,283,220,134,96
Chelsea,460,750,918,872,724,536,350,183,104,46,29,15,10,2,0,1,0,0,0,0
Everton,8,35,71,162,262,389,600,716,635,513,466,335,224,183,138,104,75,45,23,16
Leicester,11,31,72,143,228,417,555,661,655,501,454,330,287,210,146,133,80,36,39,11
Man United,326,532,803,798,829,678,438,277,156,89,30,27,11,2,2,2,0,0,0,0
Norwich,0,0,1,3,9,28,53,86,180,258,315,409,414,430,471,511,501,514,468,349
Arsenal,1496,1357,863,582,350,205,79,43,20,3,1,1,0,0,0,0,0,0,0,0
Newcastle,0,0,1,2,7,29,29,78,145,216,245,301,388,446,451,518,588,563,574,419
Stoke,0,2,2,13,26,69,113,198,329,408,437,504,463,455,433,410,389,327,261,161
West Brom,0,0,1,0,2,8,25,54,96,132,192,244,330,384,429,553,548,678,660,664
Aston Villa,0,0,0,0,0,4,8,10,21,37,68,94,147,190,259,305,471,696,944,1746
Southampton,25,106,223,288,523,634,827,720,532,385,251,159,125,92,52,24,18,9,7,0
Sunderland,0,0,0,1,0,6,6,29,54,82,132,166,255,319,422,468,594,701,821,944
Swansea,0,1,4,11,29,86,152,232,327,430,483,470,501,459,466,416,350,253,215,115
Tottenham,233,482,676,777,833,728,536,321,199,95,53,27,19,14,2,2,1,1,1,0
Watford,0,0,1,3,10,16,56,132,180,234,339,359,439,449,512,504,538,485,451,292
West Ham,1,0,8,17,55,117,191,320,382,477,498,514,446,440,421,355,267,227,181,83
Crystal Palace,0,0,5,22,45,103,171,268,346,483,480,498,492,477,428,319,294,244,221,104
Man City,2220,1240,693,415,231,115,58,15,11,0,1,1,0,0,0,0,0,0,0,0
Liverpool,220,464,643,867,780,712,576,323,179,106,54,38,16,9,8,1,3,1,0,0
