Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,1,0,0,6,8,10,16,33,42,54,56,56,54,34,33,31,29,15,10,12
Chelsea,44,74,93,87,69,52,41,19,8,6,2,2,3,0,0,0,0,0,0,0
Everton,1,2,6,14,30,35,62,60,66,56,42,28,25,16,25,6,15,4,7,0
Leicester,0,1,5,9,27,38,61,65,69,53,39,32,39,21,12,14,8,3,4,0
Man United,29,62,78,91,63,63,47,34,11,11,5,3,2,0,1,0,0,0,0,0
Norwich,0,0,0,0,0,4,3,20,17,24,35,33,39,40,42,45,57,53,54,34
Arsenal,137,156,93,51,35,11,9,3,4,1,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,0,3,8,7,16,20,22,19,43,45,52,63,55,53,52,42
Stoke,0,0,0,2,3,4,9,22,27,40,27,53,46,51,41,52,33,33,30,27
West Brom,0,0,0,1,0,1,2,5,9,14,23,28,27,52,45,50,60,59,66,58
Aston Villa,0,0,0,0,0,0,0,1,1,6,3,10,6,23,24,43,46,65,94,178
Southampton,2,8,20,39,51,71,81,78,56,30,22,19,9,6,2,1,3,1,1,0
Sunderland,0,0,0,0,0,0,0,4,4,5,12,20,15,25,47,53,49,82,87,97
Swansea,0,0,0,0,3,8,17,24,36,48,51,50,44,39,48,38,32,28,21,13
Tottenham,18,38,77,74,89,79,57,22,21,12,3,6,0,3,0,0,1,0,0,0
Watford,0,0,0,0,1,5,1,11,14,22,38,44,46,52,51,36,57,55,41,26
West Ham,0,1,3,2,1,13,25,28,42,45,56,47,54,38,41,30,29,20,15,10
Crystal Palace,0,0,0,2,7,10,13,35,36,46,53,48,46,54,36,38,26,29,18,3
Man City,248,119,65,32,25,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Liverpool,20,39,60,90,88,84,47,29,20,7,11,2,2,1,0,0,0,0,0,0
