Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,2,3,6,11,26,50,63,73,75,87,59,77,68,42,44,24,23,17
Chelsea,75,94,138,131,121,79,54,24,18,7,3,4,1,0,1,0,0,0,0,0
Everton,1,2,11,21,44,58,88,115,85,90,66,48,48,21,13,18,13,6,1,1
Leicester,1,2,9,17,45,51,69,122,115,75,66,57,47,31,14,11,10,4,4,0
Man United,48,84,137,130,115,91,65,37,17,13,5,5,1,0,0,1,0,1,0,0
Norwich,0,0,1,1,3,8,7,13,27,38,61,49,54,69,83,68,84,73,62,49
Arsenal,232,212,116,95,50,24,11,6,2,2,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,1,0,2,9,10,24,29,34,44,59,65,75,80,83,83,88,64
Stoke,0,0,1,1,4,15,17,36,46,55,62,62,77,68,60,70,47,45,63,21
West Brom,0,0,0,0,0,1,7,9,11,21,29,50,42,56,67,76,84,111,95,91
Aston Villa,0,0,0,0,0,0,0,1,3,9,5,16,16,29,44,58,73,97,144,255
Southampton,3,12,21,48,79,120,128,107,75,50,32,31,17,10,8,3,3,3,0,0
Sunderland,0,0,0,0,0,0,2,4,11,17,22,27,36,50,62,82,78,95,125,139
Swansea,0,0,2,2,4,10,19,37,53,50,68,73,86,66,68,63,63,39,26,21
Tottenham,31,94,100,115,112,110,85,39,30,16,7,6,2,3,0,0,0,0,0,0
Watford,0,0,0,0,2,3,11,20,34,42,62,50,67,68,51,82,74,73,52,59
West Ham,1,0,1,4,4,17,29,37,62,73,86,57,74,74,60,39,42,47,26,17
Crystal Palace,0,1,1,1,5,11,24,37,49,76,58,80,60,61,72,56,52,49,41,16
Man City,317,176,127,61,36,16,11,4,1,0,0,0,0,0,1,0,0,0,0,0
Liverpool,41,73,83,119,120,123,88,42,24,14,9,4,4,2,3,1,0,0,0,0
