Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,0,0,1,1,1,2,2,2,4,2,8,11,12,10,9,15,12,8,0,0
Necaxa,0,2,1,2,2,1,7,11,5,11,11,12,10,10,3,8,0,4,0,0
Juarez,0,0,0,0,0,0,0,2,0,3,3,2,7,7,11,12,29,24,0,0
Pachuca,16,11,12,15,7,8,13,4,4,3,1,3,1,1,0,0,0,1,0,0
Guadalajara Chivas,1,1,4,7,8,9,10,8,7,10,7,5,7,4,8,1,1,2,0,0
U.N.A.M.- Pumas,1,0,1,1,2,0,5,6,4,8,4,9,3,13,16,11,8,8,0,0
Monterrey,29,10,16,12,8,3,6,3,8,3,2,0,0,0,0,0,0,0,0,0
Club Tijuana,0,5,0,3,3,1,4,7,5,11,8,10,10,11,5,8,4,5,0,0
Cruz Azul,3,5,9,6,11,17,9,7,7,11,2,1,5,1,2,1,3,0,0,0
Mazatlan FC,0,0,0,0,0,0,0,0,2,7,3,3,4,7,12,13,17,32,0,0
Puebla,0,4,1,4,6,6,3,7,7,8,10,6,8,8,6,8,5,3,0,0
Club Leon,6,13,10,5,13,10,6,5,8,1,5,8,3,4,1,1,1,0,0,0
Club America,17,15,11,11,14,7,8,6,3,1,3,3,1,0,0,0,0,0,0,0
Atlas,7,14,13,15,7,11,5,5,6,5,3,5,0,1,2,0,1,0,0,0
Toluca,0,1,2,1,0,4,6,3,6,4,9,5,14,12,12,9,9,3,0,0
Santos Laguna,5,3,9,6,6,7,8,11,9,6,7,6,3,2,5,4,2,1,0,0
Atl. San Luis,0,0,2,4,3,5,2,3,6,4,14,8,8,9,7,9,7,9,0,0
U.A.N.L.- Tigres,15,16,8,7,9,9,6,10,9,2,0,3,4,0,1,0,1,0,0,0
