Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Brentford,0,0,0,0,4,7,14,34,36,40,69,67,83,82,104,118,135,115,57,35
Man United,6,16,115,364,269,122,57,28,13,3,1,2,2,2,0,0,0,0,0,0
Burnley,0,0,0,0,1,0,3,4,11,10,24,36,42,62,79,110,143,174,179,122
Chelsea,61,240,480,151,50,9,5,2,1,1,0,0,0,0,0,0,0,0,0,0
Everton,0,0,0,7,12,29,60,62,88,93,93,84,92,84,93,81,50,40,22,10
Leicester,0,0,1,9,18,42,101,121,102,106,104,88,73,70,48,46,28,23,16,4
Watford,0,0,0,0,0,0,2,2,7,10,16,19,26,37,42,84,110,180,241,224
Norwich,0,0,0,0,0,0,0,0,1,3,2,8,20,23,26,45,71,97,214,490
Newcastle,0,0,0,0,0,2,10,13,28,32,55,57,69,79,105,107,132,124,130,57
Tottenham,1,2,33,177,206,217,139,92,63,20,15,12,12,5,3,0,2,1,0,0
Liverpool,210,518,230,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,0,0,0,15,30,60,95,108,120,136,94,82,71,55,48,29,24,22,9,2
Crystal Palace,0,0,0,1,4,21,30,53,68,73,77,93,103,130,91,85,66,50,40,15
Leeds,0,0,0,1,11,14,40,58,52,97,84,77,98,93,95,90,79,60,34,17
Man City,722,214,60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,0,0,0,8,29,57,91,98,114,109,97,99,72,58,58,40,31,22,13,4
Southampton,0,0,0,1,10,23,46,52,65,83,96,105,96,83,105,80,63,53,25,14
Wolves,0,0,0,0,6,41,53,81,83,90,81,111,94,102,82,68,55,30,18,5
Arsenal,0,10,76,208,259,189,97,55,37,29,15,10,6,6,1,0,1,1,0,0
West Ham,0,0,5,24,79,167,157,137,111,65,77,50,41,29,20,17,10,8,2,1
