Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,OddH,OddD,OddA
2012/2013,Liga MX,21/07/2012,Chiapas,U.A.N.L.- Tigres,0,4,A,,,,,,,,,,,,,,,2.74,3.1,2.51
2012/2013,Liga MX,21/07/2012,Club Tijuana,Puebla,2,0,H,,,,,,,,,,,,,,,1.93,3.26,3.83
2012/2013,Liga MX,21/07/2012,Cruz Azul,Monarcas,0,0,D,,,,,,,,,,,,,,,2,3.26,3.56
2012/2013,Liga MX,21/07/2012,Queretaro,Club Leon,0,2,A,,,,,,,,,,,,,,,3.26,3.18,2.16
2012/2013,Liga MX,22/07/2012,Monterrey,Club America,0,0,D,,,,,,,,,,,,,,,1.92,3.37,3.79
2012/2013,Liga MX,22/07/2012,Santos Laguna,Atl. San Luis,2,1,H,,,,,,,,,,,,,,,1.63,3.63,5.06
2012/2013,Liga MX,22/07/2012,Atlas,U.N.A.M.- Pumas,1,1,D,,,,,,,,,,,,,,,2.53,3.04,2.76
2012/2013,Liga MX,22/07/2012,Toluca,Guadalajara Chivas,2,1,H,,,,,,,,,,,,,,,2.47,3.09,2.79
2012/2013,Liga MX,23/07/2012,Atlante,Pachuca,0,0,D,,,,,,,,,,,,,,,2.6,3.11,2.65
2012/2013,Liga MX,28/07/2012,Monarcas,Monterrey,1,0,H,,,,,,,,,,,,,,,2.6,3.13,2.6
2012/2013,Liga MX,28/07/2012,Club Leon,Club Tijuana,4,0,H,,,,,,,,,,,,,,,1.88,3.29,3.99
2012/2013,Liga MX,28/07/2012,Club America,Chiapas,4,2,H,,,,,,,,,,,,,,,1.66,3.59,4.79
2012/2013,Liga MX,29/07/2012,Pachuca,Atlas,0,3,A,,,,,,,,,,,,,,,1.81,3.38,4.2
2012/2013,Liga MX,29/07/2012,U.A.N.L.- Tigres,Atlante,2,1,H,,,,,,,,,,,,,,,1.43,4.04,7.19
2012/2013,Liga MX,29/07/2012,Atl. San Luis,Cruz Azul,1,2,A,,,,,,,,,,,,,,,2.9,3.14,2.34
2012/2013,Liga MX,29/07/2012,Puebla,Toluca,1,3,A,,,,,,,,,,,,,,,2.41,3.15,2.8
2012/2013,Liga MX,29/07/2012,U.N.A.M.- Pumas,Queretaro,3,0,H,,,,,,,,,,,,,,,1.57,3.69,5.6
2012/2013,Liga MX,29/07/2012,Guadalajara Chivas,Santos Laguna,0,1,A,,,,,,,,,,,,,,,2.39,3.13,2.87
2012/2013,Liga MX,04/08/2012,Santos Laguna,Puebla,2,2,D,,,,,,,,,,,,,,,1.44,4.15,6.64
2012/2013,Liga MX,04/08/2012,Club Tijuana,U.N.A.M.- Pumas,1,0,H,,,,,,,,,,,,,,,2.55,3.05,2.72
2012/2013,Liga MX,04/08/2012,Monarcas,Atl. San Luis,3,3,D,,,,,,,,,,,,,,,1.67,3.54,4.86
2012/2013,Liga MX,04/08/2012,Cruz Azul,Guadalajara Chivas,0,0,D,,,,,,,,,,,,,,,1.98,3.27,3.59
2012/2013,Liga MX,04/08/2012,Queretaro,Pachuca,0,1,A,,,,,,,,,,,,,,,3.15,3.26,2.17
2012/2013,Liga MX,05/08/2012,Monterrey,Chiapas,2,1,H,,,,,,,,,,,,,,,1.53,3.88,5.82
2012/2013,Liga MX,05/08/2012,Atlas,U.A.N.L.- Tigres,0,0,D,,,,,,,,,,,,,,,2.9,3.13,2.37
2012/2013,Liga MX,05/08/2012,Toluca,Club Leon,2,1,H,,,,,,,,,,,,,,,2.56,3.16,2.63
2012/2013,Liga MX,06/08/2012,Atlante,Club America,2,2,D,,,,,,,,,,,,,,,2.9,3.23,2.32
2012/2013,Liga MX,11/08/2012,Chiapas,Atlante,1,2,A,,,,,,,,,,,,,,,1.94,3.38,3.59
2012/2013,Liga MX,11/08/2012,Club Leon,Santos Laguna,3,0,H,,,,,,,,,,,,,,,2.06,3.37,3.31
2012/2013,Liga MX,11/08/2012,Club America,Atlas,1,1,D,,,,,,,,,,,,,,,1.72,3.47,4.65
2012/2013,Liga MX,12/08/2012,Pachuca,Club Tijuana,2,2,D,,,,,,,,,,,,,,,2.01,3.24,3.56
2012/2013,Liga MX,12/08/2012,U.A.N.L.- Tigres,Queretaro,2,2,D,,,,,,,,,,,,,,,1.32,4.62,9.09
2012/2013,Liga MX,12/08/2012,Atl. San Luis,Monterrey,1,1,D,,,,,,,,,,,,,,,3.18,3.24,2.14
2012/2013,Liga MX,12/08/2012,Puebla,Cruz Azul,0,1,A,,,,,,,,,,,,,,,2.79,3.17,2.42
2012/2013,Liga MX,12/08/2012,U.N.A.M.- Pumas,Toluca,1,2,A,,,,,,,,,,,,,,,2.02,3.23,3.52
2012/2013,Liga MX,13/08/2012,Guadalajara Chivas,Monarcas,1,1,D,,,,,,,,,,,,,,,2.44,3.14,2.81
2012/2013,Liga MX,18/08/2012,Club Tijuana,U.A.N.L.- Tigres,2,1,H,,,,,,,,,,,,,,,2.8,3.08,2.44
2012/2013,Liga MX,18/08/2012,Cruz Azul,Club Leon,1,1,D,,,,,,,,,,,,,,,2.35,3.21,2.85
2012/2013,Liga MX,18/08/2012,Monarcas,Puebla,3,0,H,,,,,,,,,,,,,,,1.66,3.64,4.82
2012/2013,Liga MX,18/08/2012,Queretaro,Club America,0,4,A,,,,,,,,,,,,,,,3.68,3.39,1.93
2012/2013,Liga MX,19/08/2012,Monterrey,Atlante,1,1,D,,,,,,,,,,,,,,,1.53,3.84,5.92
2012/2013,Liga MX,19/08/2012,Santos Laguna,U.N.A.M.- Pumas,1,2,A,,,,,,,,,,,,,,,2.02,3.27,3.56
2012/2013,Liga MX,19/08/2012,Atl. San Luis,Guadalajara Chivas,0,1,A,,,,,,,,,,,,,,,2.56,3.11,2.68
2012/2013,Liga MX,19/08/2012,Atlas,Chiapas,1,1,D,,,,,,,,,,,,,,,2.05,3.23,3.45
2012/2013,Liga MX,19/08/2012,Toluca,Pachuca,1,0,H,,,,,,,,,,,,,,,2.15,3.2,3.22
2012/2013,Liga MX,25/08/2012,Chiapas,Queretaro,2,1,H,,,,,,,,,,,,,,,1.62,3.77,4.98
2012/2013,Liga MX,25/08/2012,Club Leon,Monarcas,1,3,A,,,,,,,,,,,,,,,1.97,3.36,3.58
2012/2013,Liga MX,25/08/2012,Club America,Club Tijuana,0,1,A,,,,,,,,,,,,,,,1.79,3.5,4.15
2012/2013,Liga MX,26/08/2012,Pachuca,Santos Laguna,0,0,D,,,,,,,,,,,,,,,2.25,3.26,2.97
2012/2013,Liga MX,26/08/2012,U.A.N.L.- Tigres,Toluca,1,1,D,,,,,,,,,,,,,,,1.85,3.45,3.88
2012/2013,Liga MX,26/08/2012,Puebla,Atl. San Luis,1,0,H,,,,,,,,,,,,,,,2.42,3.18,2.8
2012/2013,Liga MX,26/08/2012,U.N.A.M.- Pumas,Cruz Azul,0,1,A,,,,,,,,,,,,,,,2.5,3.1,2.76
2012/2013,Liga MX,26/08/2012,Guadalajara Chivas,Monterrey,1,2,A,,,,,,,,,,,,,,,2.52,3.15,2.7
2012/2013,Liga MX,27/08/2012,Atlante,Atlas,1,0,H,,,,,,,,,,,,,,,2.13,3.25,3.24
2012/2013,Liga MX,01/09/2012,Club Tijuana,Chiapas,2,0,H,,,,,,,,,,,,,,,1.87,3.35,4.01
2012/2013,Liga MX,01/09/2012,Monarcas,U.N.A.M.- Pumas,0,1,A,,,,,,,,,,,,,,,1.94,3.34,3.71
2012/2013,Liga MX,01/09/2012,Cruz Azul,Pachuca,1,1,D,,,,,,,,,,,,,,,1.83,3.44,4.03
2012/2013,Liga MX,01/09/2012,Queretaro,Atlante,0,1,A,,,,,,,,,,,,,,,3.28,3.29,2.1
2012/2013,Liga MX,02/09/2012,Monterrey,Atlas,1,1,D,,,,,,,,,,,,,,,1.56,3.78,5.62
2012/2013,Liga MX,02/09/2012,Santos Laguna,U.A.N.L.- Tigres,3,1,H,,,,,,,,,,,,,,,2.57,3.17,2.64
2012/2013,Liga MX,02/09/2012,Atl. San Luis,Club Leon,0,2,A,,,,,,,,,,,,,,,3.06,3.27,2.21
2012/2013,Liga MX,02/09/2012,Toluca,Club America,1,1,D,,,,,,,,,,,,,,,2.34,3.22,2.88
2012/2013,Liga MX,02/09/2012,Guadalajara Chivas,Puebla,1,1,D,,,,,,,,,,,,,,,1.82,3.37,4.18
2012/2013,Liga MX,15/09/2012,Chiapas,Toluca,2,0,H,,,,,,,,,,,,,,,2.57,3.2,2.62
2012/2013,Liga MX,15/09/2012,Pachuca,Monarcas,3,2,H,,,,,,,,,,,,,,,2.36,3.13,2.93
2012/2013,Liga MX,15/09/2012,Club Leon,Guadalajara Chivas,1,2,A,,,,,,,,,,,,,,,1.67,3.61,4.84
2012/2013,Liga MX,15/09/2012,Club America,Santos Laguna,2,0,H,,,,,,,,,,,,,,,1.84,3.58,3.86
2012/2013,Liga MX,16/09/2012,U.A.N.L.- Tigres,Cruz Azul,2,0,H,,,,,,,,,,,,,,,2.05,3.23,3.49
2012/2013,Liga MX,16/09/2012,Atlas,Queretaro,0,0,D,,,,,,,,,,,,,,,1.58,3.64,5.62
2012/2013,Liga MX,16/09/2012,Puebla,Monterrey,2,3,A,,,,,,,,,,,,,,,3.41,3.24,2.07
2012/2013,Liga MX,16/09/2012,U.N.A.M.- Pumas,Atl. San Luis,0,1,A,,,,,,,,,,,,,,,1.74,3.46,4.55
2012/2013,Liga MX,17/09/2012,Atlante,Club Tijuana,1,2,A,,,,,,,,,,,,,,,2.16,3.17,3.25
2012/2013,Liga MX,22/09/2012,Puebla,Club Leon,1,1,D,,,,,,,,,,,,,,,3.55,3.3,2
2012/2013,Liga MX,22/09/2012,Monarcas,U.A.N.L.- Tigres,1,1,D,,,,,,,,,,,,,,,2.63,3.15,2.63
2012/2013,Liga MX,22/09/2012,Cruz Azul,Club America,1,1,D,,,,,,,,,,,,,,,2.34,3.2,2.9
2012/2013,Liga MX,23/09/2012,Atl. San Luis,Pachuca,1,0,H,,,,,,,,,,,,,,,2.6,3.13,2.62
2012/2013,Liga MX,23/09/2012,Monterrey,Queretaro,3,2,H,,,,,,,,,,,,,,,1.34,4.58,8.52
2012/2013,Liga MX,23/09/2012,Santos Laguna,Chiapas,0,0,D,,,,,,,,,,,,,,,1.83,3.54,3.94
2012/2013,Liga MX,23/09/2012,Club Tijuana,Atlas,1,1,D,,,,,,,,,,,,,,,1.81,3.41,4.25
2012/2013,Liga MX,23/09/2012,Toluca,Atlante,1,0,H,,,,,,,,,,,,,,,1.87,3.37,3.99
2012/2013,Liga MX,23/09/2012,Guadalajara Chivas,U.N.A.M.- Pumas,0,0,D,,,,,,,,,,,,,,,2.36,3.03,3.03
2012/2013,Liga MX,29/09/2012,Chiapas,Cruz Azul,1,0,H,,,,,,,,,,,,,,,2.87,3.14,2.38
2012/2013,Liga MX,29/09/2012,Club Leon,Monterrey,2,0,H,,,,,,,,,,,,,,,2.03,3.27,3.54
2012/2013,Liga MX,29/09/2012,Club America,Monarcas,1,1,D,,,,,,,,,,,,,,,2.06,3.25,3.46
2012/2013,Liga MX,29/09/2012,Queretaro,Club Tijuana,0,1,A,,,,,,,,,,,,,,,3.27,3.11,2.2
2012/2013,Liga MX,30/09/2012,Pachuca,Guadalajara Chivas,1,0,H,,,,,,,,,,,,,,,2.21,3.12,3.21
2012/2013,Liga MX,30/09/2012,U.A.N.L.- Tigres,Atl. San Luis,0,0,D,,,,,,,,,,,,,,,1.48,3.83,6.76
2012/2013,Liga MX,30/09/2012,Atlas,Toluca,1,3,A,,,,,,,,,,,,,,,2.64,3.08,2.61
2012/2013,Liga MX,30/09/2012,U.N.A.M.- Pumas,Puebla,2,1,H,,,,,,,,,,,,,,,1.83,3.35,4.21
2012/2013,Liga MX,01/10/2012,Atlante,Santos Laguna,1,3,A,,,,,,,,,,,,,,,2.5,3.22,2.67
2012/2013,Liga MX,03/10/2012,Guadalajara Chivas,U.A.N.L.- Tigres,2,1,H,,,,,,,,,,,,,,,2.92,3.1,2.4
2012/2013,Liga MX,03/10/2012,Atl. San Luis,Club America,1,2,A,,,,,,,,,,,,,,,3.19,3.26,2.18
2012/2013,Liga MX,04/10/2012,Cruz Azul,Atlante,4,0,H,,,,,,,,,,,,,,,1.67,3.55,4.95
2012/2013,Liga MX,04/10/2012,Puebla,Pachuca,2,0,H,,,,,,,,,,,,,,,2.8,3.15,2.43
2012/2013,Liga MX,04/10/2012,Toluca,Queretaro,4,1,H,,,,,,,,,,,,,,,1.37,4.47,7.96
2012/2013,Liga MX,04/10/2012,Santos Laguna,Atlas,2,1,H,,,,,,,,,,,,,,,1.8,3.45,4.24
2012/2013,Liga MX,04/10/2012,Club Leon,U.N.A.M.- Pumas,2,1,H,,,,,,,,,,,,,,,1.64,3.67,5.06
2012/2013,Liga MX,04/10/2012,Monterrey,Club Tijuana,1,1,D,,,,,,,,,,,,,,,1.89,3.34,3.95
2012/2013,Liga MX,05/10/2012,Monarcas,Chiapas,1,1,D,,,,,,,,,,,,,,,1.81,3.46,4.16
2012/2013,Liga MX,06/10/2012,Club America,Guadalajara Chivas,1,3,A,,,,,,,,,,,,,,,1.87,3.37,3.95
2012/2013,Liga MX,07/10/2012,Pachuca,Club Leon,1,1,D,,,,,,,,,,,,,,,2.56,3.2,2.6
2012/2013,Liga MX,07/10/2012,Queretaro,Santos Laguna,1,1,D,,,,,,,,,,,,,,,3.6,3.34,1.96
2012/2013,Liga MX,07/10/2012,U.A.N.L.- Tigres,Puebla,1,2,A,,,,,,,,,,,,,,,1.48,3.94,6.41
2012/2013,Liga MX,07/10/2012,Atlas,Cruz Azul,1,1,D,,,,,,,,,,,,,,,3.04,3.13,2.3
2012/2013,Liga MX,07/10/2012,U.N.A.M.- Pumas,Monterrey,3,2,H,,,,,,,,,,,,,,,2.3,3.14,2.99
2012/2013,Liga MX,07/10/2012,Chiapas,Atl. San Luis,4,0,H,,,,,,,,,,,,,,,1.95,3.38,3.65
2012/2013,Liga MX,08/10/2012,Atlante,Monarcas,2,2,D,,,,,,,,,,,,,,,3.04,3.16,2.27
2012/2013,Liga MX,08/10/2012,Club Tijuana,Toluca,1,0,H,,,,,,,,,,,,,,,2.23,3.23,3.08
2012/2013,Liga MX,13/10/2012,Cruz Azul,Queretaro,3,2,H,,,,,,,,,,,,,,,1.33,4.64,8.74
2012/2013,Liga MX,14/10/2012,Atl. San Luis,Atlante,2,2,D,,,,,,,,,,,,,,,2.51,3.13,2.73
2012/2013,Liga MX,14/10/2012,Club Leon,U.A.N.L.- Tigres,2,0,H,,,,,,,,,,,,,,,1.73,3.48,4.57
2012/2013,Liga MX,14/10/2012,Santos Laguna,Club Tijuana,2,2,D,,,,,,,,,,,,,,,2.25,3.26,3.04
2012/2013,Liga MX,14/10/2012,U.N.A.M.- Pumas,Pachuca,1,0,H,,,,,,,,,,,,,,,1.92,3.3,3.86
2012/2013,Liga MX,14/10/2012,Guadalajara Chivas,Chiapas,1,1,D,,,,,,,,,,,,,,,2.03,3.25,3.51
2012/2013,Liga MX,20/10/2012,Chiapas,Puebla,2,0,H,,,,,,,,,,,,,,,1.71,3.55,4.57
2012/2013,Liga MX,20/10/2012,Club Tijuana,Cruz Azul,2,2,D,,,,,,,,,,,,,,,2.22,3.13,3.21
2012/2013,Liga MX,20/10/2012,Club America,Club Leon,2,1,H,,,,,,,,,,,,,,,2.42,3.22,2.77
2012/2013,Liga MX,20/10/2012,Queretaro,Monarcas,1,2,A,,,,,,,,,,,,,,,4.27,3.57,1.76
2012/2013,Liga MX,21/10/2012,Pachuca,Monterrey,1,1,D,,,,,,,,,,,,,,,2.46,3.09,2.81
2012/2013,Liga MX,21/10/2012,U.A.N.L.- Tigres,U.N.A.M.- Pumas,5,0,H,,,,,,,,,,,,,,,1.9,3.3,3.94
2012/2013,Liga MX,21/10/2012,Atlas,Atl. San Luis,2,3,A,,,,,,,,,,,,,,,1.96,3.27,3.73
2012/2013,Liga MX,21/10/2012,Toluca,Santos Laguna,4,1,H,,,,,,,,,,,,,,,1.99,3.39,3.5
2012/2013,Liga MX,22/10/2012,Atlante,Guadalajara Chivas,3,1,H,,,,,,,,,,,,,,,2.49,3.09,2.77
2012/2013,Liga MX,24/10/2012,Monarcas,Atlas,2,0,H,,,,,,,,,,,,,,,1.58,3.7,5.63
2012/2013,Liga MX,26/10/2012,Puebla,Club America,0,1,A,,,,,,,,,,,,,,,3.92,3.53,1.85
2012/2013,Liga MX,27/10/2012,Club Leon,Chiapas,4,1,H,,,,,,,,,,,,,,,1.68,3.65,4.73
2012/2013,Liga MX,27/10/2012,Atl. San Luis,Queretaro,0,0,D,,,,,,,,,,,,,,,1.67,3.6,4.87
2012/2013,Liga MX,27/10/2012,Cruz Azul,Toluca,3,0,H,,,,,,,,,,,,,,,2.16,3.25,3.21
2012/2013,Liga MX,28/10/2012,Monarcas,Club Tijuana,1,1,D,,,,,,,,,,,,,,,2.03,3.29,3.46
2012/2013,Liga MX,28/10/2012,Monterrey,Santos Laguna,3,2,H,,,,,,,,,,,,,,,1.86,3.44,4.06
2012/2013,Liga MX,28/10/2012,Pachuca,U.A.N.L.- Tigres,1,0,H,,,,,,,,,,,,,,,2.83,3.04,2.52
2012/2013,Liga MX,28/10/2012,Puebla,Atlante,1,2,A,,,,,,,,,,,,,,,2.55,3.11,2.71
2012/2013,Liga MX,28/10/2012,U.N.A.M.- Pumas,Club America,0,1,A,,,,,,,,,,,,,,,2.73,3.11,2.53
2012/2013,Liga MX,28/10/2012,Guadalajara Chivas,Atlas,2,0,H,,,,,,,,,,,,,,,1.97,3.21,3.74
2012/2013,Liga MX,03/11/2012,Chiapas,U.N.A.M.- Pumas,3,0,H,,,,,,,,,,,,,,,2.03,3.27,3.51
2012/2013,Liga MX,03/11/2012,Santos Laguna,Cruz Azul,2,1,H,,,,,,,,,,,,,,,2.4,3.2,2.83
2012/2013,Liga MX,03/11/2012,Club America,Pachuca,4,0,H,,,,,,,,,,,,,,,1.76,3.45,4.41
2012/2013,Liga MX,03/11/2012,Queretaro,Guadalajara Chivas,0,1,A,,,,,,,,,,,,,,,4.05,3.26,1.89
2012/2013,Liga MX,04/11/2012,Monterrey,U.A.N.L.- Tigres,0,1,A,,,,,,,,,,,,,,,2.29,3.11,3.09
2012/2013,Liga MX,04/11/2012,Club Tijuana,Atl. San Luis,0,0,D,,,,,,,,,,,,,,,1.53,3.74,6.1
2012/2013,Liga MX,04/11/2012,Toluca,Monarcas,0,0,D,,,,,,,,,,,,,,,2.13,3.22,3.27
2012/2013,Liga MX,04/11/2012,Atlas,Puebla,2,2,D,,,,,,,,,,,,,,,2.11,3.17,3.34
2012/2013,Liga MX,05/11/2012,Atlante,Club Leon,2,3,A,,,,,,,,,,,,,,,2.81,3.23,2.38
2012/2013,Liga MX,08/11/2012,Monterrey,Toluca,2,2,D,,,,,,,,,,,,,,,1.81,3.44,4.21
2012/2013,Liga MX,10/11/2012,Club Leon,Atlas,3,1,H,,,,,,,,,,,,,,,1.38,4.49,7.3
2012/2013,Liga MX,10/11/2012,Monarcas,Santos Laguna,2,0,H,,,,,,,,,,,,,,,2.06,3.33,3.35
2012/2013,Liga MX,10/11/2012,Cruz Azul,Monterrey,1,1,D,,,,,,,,,,,,,,,2.12,3.27,3.25
2012/2013,Liga MX,11/11/2012,Pachuca,Chiapas,2,1,H,,,,,,,,,,,,,,,2.72,3.12,2.52
2012/2013,Liga MX,11/11/2012,U.A.N.L.- Tigres,Club America,1,1,D,,,,,,,,,,,,,,,2.23,3.19,3.1
2012/2013,Liga MX,11/11/2012,Atl. San Luis,Toluca,0,2,A,,,,,,,,,,,,,,,3.17,3.23,2.18
2012/2013,Liga MX,11/11/2012,Puebla,Queretaro,0,1,A,,,,,,,,,,,,,,,1.76,3.42,4.53
2012/2013,Liga MX,11/11/2012,U.N.A.M.- Pumas,Atlante,3,2,H,,,,,,,,,,,,,,,2,3.28,3.57
2012/2013,Liga MX,11/11/2012,Guadalajara Chivas,Club Tijuana,0,2,A,,,,,,,,,,,,,,,2.53,3.03,2.78
2013/2014,Liga MX,20/07/2013,Queretaro,Monarcas,1,3,A,,,,,,,,,,,,,,,2.84,3.14,2.44
2013/2014,Liga MX,20/07/2013,Club Tijuana,Atlas,3,3,D,,,,,,,,,,,,,,,1.87,3.22,4.23
2013/2014,Liga MX,20/07/2013,Cruz Azul,Monterrey,1,0,H,,,,,,,,,,,,,,,1.92,3.33,3.78
2013/2014,Liga MX,21/07/2013,Veracruz,Chiapas,2,2,D,,,,,,,,,,,,,,,2.08,3.24,3.48
2013/2014,Liga MX,21/07/2013,Club Leon,Atlante,1,0,H,,,,,,,,,,,,,,,1.64,3.62,5.25
2013/2014,Liga MX,21/07/2013,Puebla,U.N.A.M.- Pumas,1,1,D,,,,,,,,,,,,,,,2.88,3.13,2.4
2013/2014,Liga MX,21/07/2013,Toluca,Pachuca,0,1,A,,,,,,,,,,,,,,,2.25,3.13,3.14
2013/2014,Liga MX,27/07/2013,Monarcas,Toluca,3,4,A,,,,,,,,,,,,,,,1.75,3.42,4.6
2013/2014,Liga MX,27/07/2013,Santos Laguna,Cruz Azul,3,2,H,,,,,,,,,,,,,,,2.67,3.16,2.58
2013/2014,Liga MX,28/07/2013,Atlante,Veracruz,2,4,A,,,,,,,,,,,,,,,2.13,3.21,3.31
2013/2014,Liga MX,28/07/2013,Monterrey,Puebla,1,1,D,,,,,,,,,,,,,,,1.57,3.74,5.67
2013/2014,Liga MX,28/07/2013,Pachuca,U.A.N.L.- Tigres,2,1,H,,,,,,,,,,,,,,,2.63,3.09,2.63
2013/2014,Liga MX,28/07/2013,Atlas,Club Leon,1,2,A,,,,,,,,,,,,,,,2.78,3.18,2.47
2013/2014,Liga MX,28/07/2013,Chiapas,Guadalajara Chivas,1,1,D,,,,,,,,,,,,,,,2.45,3.14,2.81
2013/2014,Liga MX,28/07/2013,U.N.A.M.- Pumas,Queretaro,0,3,A,,,,,,,,,,,,,,,1.73,3.41,4.7
2013/2014,Liga MX,31/07/2013,Cruz Azul,Chiapas,1,1,D,,,,,,,,,,,,,,,1.46,4.18,6.37
2013/2014,Liga MX,31/07/2013,Atlante,Atlas,1,1,D,,,,,,,,,,,,,,,2.27,3.19,3.02
2013/2014,Liga MX,31/07/2013,Club Tijuana,Pachuca,1,0,H,,,,,,,,,,,,,,,1.92,3.37,3.79
2013/2014,Liga MX,01/08/2013,Guadalajara Chivas,Veracruz,0,2,A,,,,,,,,,,,,,,,1.76,3.54,4.35
2013/2014,Liga MX,01/08/2013,Puebla,Santos Laguna,1,1,D,,,,,,,,,,,,,,,2.61,3.15,2.61
2013/2014,Liga MX,01/08/2013,Queretaro,Monterrey,3,3,D,,,,,,,,,,,,,,,2.84,3.19,2.4
2013/2014,Liga MX,01/08/2013,Toluca,U.N.A.M.- Pumas,0,0,D,,,,,,,,,,,,,,,2.05,3.18,3.55
2013/2014,Liga MX,01/08/2013,U.A.N.L.- Tigres,Monarcas,1,2,A,,,,,,,,,,,,,,,1.79,3.44,4.36
2013/2014,Liga MX,01/08/2013,Club Leon,Club America,1,1,D,,,,,,,,,,,,,,,2.38,3.14,2.91
2013/2014,Liga MX,03/08/2013,Club America,Atlas,3,0,H,,,,,,,,,,,,,,,1.51,3.87,6.25
2013/2014,Liga MX,03/08/2013,Veracruz,Cruz Azul,3,2,H,,,,,,,,,,,,,,,3.06,3.21,2.26
2013/2014,Liga MX,04/08/2013,Monarcas,Club Tijuana,2,1,H,,,,,,,,,,,,,,,2.03,3.25,3.55
2013/2014,Liga MX,04/08/2013,Monterrey,Toluca,1,1,D,,,,,,,,,,,,,,,1.7,3.58,4.68
2013/2014,Liga MX,04/08/2013,Pachuca,Club Leon,1,1,D,,,,,,,,,,,,,,,2.6,3.16,2.63
2013/2014,Liga MX,04/08/2013,Santos Laguna,Queretaro,2,0,H,,,,,,,,,,,,,,,1.87,3.46,3.94
2013/2014,Liga MX,04/08/2013,Chiapas,Puebla,4,2,H,,,,,,,,,,,,,,,2.16,3.21,3.26
2013/2014,Liga MX,04/08/2013,U.N.A.M.- Pumas,U.A.N.L.- Tigres,0,2,A,,,,,,,,,,,,,,,2.86,3.12,2.42
2013/2014,Liga MX,04/08/2013,Guadalajara Chivas,Atlante,1,0,H,,,,,,,,,,,,,,,1.77,3.5,4.35
2013/2014,Liga MX,10/08/2013,Queretaro,Chiapas,1,1,D,,,,,,,,,,,,,,,2.17,3.21,3.21
2013/2014,Liga MX,10/08/2013,Club Tijuana,U.N.A.M.- Pumas,2,0,H,,,,,,,,,,,,,,,1.72,3.47,4.71
2013/2014,Liga MX,10/08/2013,Cruz Azul,Guadalajara Chivas,3,1,H,,,,,,,,,,,,,,,1.9,3.33,4
2013/2014,Liga MX,11/08/2013,Atlante,Club America,2,4,A,,,,,,,,,,,,,,,4.23,3.5,1.79
2013/2014,Liga MX,11/08/2013,U.A.N.L.- Tigres,Monterrey,3,1,H,,,,,,,,,,,,,,,1.82,3.41,4.17
2013/2014,Liga MX,11/08/2013,Club Leon,Monarcas,0,0,D,,,,,,,,,,,,,,,1.96,3.37,3.65
2013/2014,Liga MX,11/08/2013,Atlas,Pachuca,1,1,D,,,,,,,,,,,,,,,2.43,3.08,2.89
2013/2014,Liga MX,11/08/2013,Puebla,Veracruz,0,0,D,,,,,,,,,,,,,,,2.32,3.2,2.94
2013/2014,Liga MX,11/08/2013,Toluca,Santos Laguna,2,2,D,,,,,,,,,,,,,,,2.01,3.34,3.48
2013/2014,Liga MX,17/08/2013,Monarcas,Atlas,2,0,H,,,,,,,,,,,,,,,1.74,3.54,4.46
2013/2014,Liga MX,17/08/2013,Santos Laguna,U.A.N.L.- Tigres,3,0,H,,,,,,,,,,,,,,,2.76,3.18,2.47
2013/2014,Liga MX,17/08/2013,Cruz Azul,Atlante,1,0,H,,,,,,,,,,,,,,,1.47,4.04,6.6
2013/2014,Liga MX,17/08/2013,Veracruz,Queretaro,0,0,D,,,,,,,,,,,,,,,1.95,3.35,3.73
2013/2014,Liga MX,18/08/2013,Monterrey,Club Tijuana,2,1,H,,,,,,,,,,,,,,,2.03,3.27,3.55
2013/2014,Liga MX,18/08/2013,Pachuca,Club America,0,1,A,,,,,,,,,,,,,,,3.28,3.33,2.1
2013/2014,Liga MX,18/08/2013,Chiapas,Toluca,0,4,A,,,,,,,,,,,,,,,2.31,3.2,2.98
2013/2014,Liga MX,18/08/2013,U.N.A.M.- Pumas,Club Leon,1,1,D,,,,,,,,,,,,,,,2.85,3.05,2.49
2013/2014,Liga MX,18/08/2013,Guadalajara Chivas,Puebla,2,4,A,,,,,,,,,,,,,,,1.9,3.35,3.93
2013/2014,Liga MX,24/08/2013,Queretaro,Guadalajara Chivas,2,0,H,,,,,,,,,,,,,,,2.35,3.16,2.96
2013/2014,Liga MX,24/08/2013,Club Tijuana,Santos Laguna,1,1,D,,,,,,,,,,,,,,,2.04,3.31,3.47
2013/2014,Liga MX,24/08/2013,Club America,Monarcas,3,1,H,,,,,,,,,,,,,,,1.74,3.45,4.61
2013/2014,Liga MX,25/08/2013,Atlante,Pachuca,1,1,D,,,,,,,,,,,,,,,2.46,3.11,2.84
2013/2014,Liga MX,25/08/2013,U.A.N.L.- Tigres,Chiapas,2,2,D,,,,,,,,,,,,,,,1.49,3.81,7.01
2013/2014,Liga MX,25/08/2013,Club Leon,Monterrey,3,1,H,,,,,,,,,,,,,,,1.81,3.43,4.22
2013/2014,Liga MX,25/08/2013,Atlas,U.N.A.M.- Pumas,1,1,D,,,,,,,,,,,,,,,2.13,3.13,3.42
2013/2014,Liga MX,25/08/2013,Puebla,Cruz Azul,1,2,A,,,,,,,,,,,,,,,2.88,3.18,2.37
