Rank,team,Ratio Pts,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,RGoalsF,GoalsF,xGoalsF,RGoalsA,GoalsA,xGoalsA,2HTGoalsF,x2HTGoalsF,2HTGoalsA,x2HTGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,Shots_Diff,ShotsF100,ShotsF,xShotsF,ShotsA_Diff,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
1,Mazatlan FC,117%,20,17.11615977,5,5,7,4.159695155,4.637074307,8.203230538,-6,-9.130209129,-0.000370297,3.130579425,100%,18,18.0003703,88%,24,27.13057943,9,10.04912315,11,15.20474881,9,7.951247145,13,11.92583062,20%,76%,132,173.2841441,33%,116%,251,216.7641932,56%,40,71.17532147,83%,77,93.29858248,96%,216,225.0083725,100%,219,218.3342311,128%,40,31.32907363,98%,27,27.52601777,1.051932108,2,1.901263384,1.932307735,3,1.552547736
2,U.N.A.M.- Pumas,113%,21,18.62929501,5,6,6,4.671638017,4.614380958,7.713981025,-6,-6.814856067,-1.864718879,2.679574946,90%,17,18.86471888,90%,23,25.67957495,11,10.5746032,12,14.51326092,6,8.29011568,11,11.16631403,32%,126%,225,178.2719013,28%,111%,232,209.7933131,95%,70,74.06648585,82%,74,89.94513386,93%,210,224.7531647,72%,159,219.4999912,117%,36,30.85756664,78%,22,28.1602683,2.109925484,4,1.895801548,0,0,1.643926964
6,Atlas,104%,29,27.79326025,8,5,4,7.610490044,4.961790117,4.427719839,11,7.072672997,-4.716761965,8.644088968,82%,21,25.71676196,54%,10,18.64408897,11,14.40069136,5,10.45784901,10,11.3160706,5,8.186239958,37%,113%,237,210.509549,35%,100%,174,174.4327279,76%,69,91.12601624,65%,47,72.62596549,92%,200,218.4828702,97%,217,224.7904522,97%,27,27.78704205,89%,28,31.35163093,0.626427262,1,1.596354535,2.043605786,4,1.95732466
5,Club Leon,108%,29,26.88233598,8,5,4,7.462155547,4.495869342,5.041975111,6,5.135468726,-4.540321288,5.404852562,81%,20,24.54032129,72%,14,19.40485256,9,13.82079157,10,10.8650368,11,10.71952972,4,8.539815762,30%,93%,189,204.0233177,18%,105%,189,180.7360065,62%,55,88.0747418,87%,66,76.01547694,91%,199,219.7866395,106%,236,223.5783572,127%,36,28.24219492,158%,48,30.41163107,1.200184353,2,1.66641066,1.617573556,3,1.854629725
16,Toluca,111%,24,21.56179973,6,6,5,5.693833011,4.480300696,6.825866293,0,-2.330799107,1.210431702,1.120367406,106%,22,20.7895683,95%,22,23.12036741,12,11.72226687,9,12.99521897,10,9.067301429,13,10.12514844,32%,121%,226,186.0144597,31%,115%,228,198.3968763,90%,71,78.93436517,84%,71,84.91968996,90%,201,223.9539662,105%,233,221.877958,136%,41,30.18197268,136%,39,28.72965318,1.626537671,3,1.844408558,2.956459052,5,1.691212329
11,Pachuca,69%,18,26.06902669,4,6,7,7.08969556,4.799940014,5.110364426,-2,4.283503429,-5.11970498,-1.163798449,79%,19,24.11970498,106%,21,19.83620155,11,13.52218015,10,11.0914149,8,10.59752483,11,8.744786648,50%,133%,271,203.0174338,38%,124%,225,181.5268294,84%,73,87.15085948,86%,66,76.47853183,83%,182,218.9175525,89%,197,222.4019949,116%,33,28.38209335,82%,25,30.57235919,1.808450391,3,1.658878792,0.524651797,1,1.906026065
3,Juarez,95%,16,16.88506481,4,4,9,4.080666699,4.643064719,8.276268583,-11,-9.457755723,-3.918116999,2.375872722,78%,14,17.918117,91%,25,27.37587272,6,10.0523381,16,15.43599734,8,7.865778894,9,11.93987538,33%,91%,157,171.677905,34%,109%,236,217.4233132,58%,41,70.74449173,75%,70,93.79381975,81%,184,226.8019333,96%,210,218.8886088,98%,31,31.59953235,120%,33,27.57428273,1.522317355,3,1.970679761,1.256441484,2,1.591797171
,,,405,416.2942466,99,108,99,110.2942466,85.41150673,110.2942466,,,,,,332,397.3685276,,,,178,223.2107667,,,154,174.1577609,,,,1.087108597,34.63629892,14.35687985,,,,14.78143748,0.784848601,12.47114316,7.31143892,,,,0.980608,20.99649831,2.544313923,,,,1.12955,4.7,1.4,,,,1.686912763,3,1.77966192,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,405,416.2942466,,108,,,85.41150673,,,,,,,332,397.3685276,,,,178,223.2107667,,,154,174.1577609,,,,,3772,3469.099259,,,,,,1158,1472.089806,,,,,3921,3998.232143,,,,,601,531.8327165,,,,,54,32.03391456,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,97%,,,126%,,,,,,,,,,84%,,,,,80%,,,,88%,,,,,,109%,,,,,,,79%,,,,,,98%,,,,,,113%,,,,,,169%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-0.427245278,2.169934641,2.597179919,,,,,,,,,,,,,,Min,171.677905,,,,,,Min,70.74449173,,,,,Faltas totales por partido,,,,,YCPS,33.4,29.5,,,,RCPS,3,1.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MinxM,10.09870029,,,,,,MinxM,4.16144069,,,,,25.6,,,,,YCPM,1.96,1.74,,,,RCPM,0.18,0.10,,,
,,,,,,,,,,,,,,,,,0.165384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max,215.0160434,,,,,,Max,92.52763612,,,,StdDev,20.99649831,2.544313923,,,,StdDev,4.679603916,1.352656566,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaxxM,12.64800255,,,,,,MaxxM,5.442802125,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVG,192.7277366,,,,,,AVG,81.782767,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AvgxM,11.33692568,,,,,,AvgxM,4.810751,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StdDev,34.63629892,14.35687985,,,,,StdDev,12.47114316,7.31143892,,,,,,,,,,,,,,,,,,,,,
