Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Aston Villa Ladies,0,0,0,0,19,84,242,488,763,1158,1453,793,0,0,0,0,0,0,0,0
Arsenal Women,1294,1503,1594,594,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton & Hove Albion Women,0,0,0,1,163,509,912,1090,967,721,477,160,0,0,0,0,0,0,0,0
Bristol City Women,0,0,0,0,0,11,29,107,185,482,1058,3128,0,0,0,0,0,0,0,0
Tottenham Hotspur Women,0,0,0,13,456,934,1246,1002,689,379,223,58,0,0,0,0,0,0,0,0
Manchester United Women,162,343,987,3299,189,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Ham United Women,0,0,0,1,132,389,722,962,1143,918,537,196,0,0,0,0,0,0,0,0
Chelsea Women,2269,1527,902,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everton Women,0,1,8,166,2862,1157,496,198,80,27,3,2,0,0,0,0,0,0,0,0
Birmingham City Women,0,0,0,0,32,121,339,600,885,1170,1197,656,0,0,0,0,0,0,0,0
Manchester City Women,1275,1626,1509,585,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading Women,0,0,0,39,1128,1774,1014,553,288,145,52,7,0,0,0,0,0,0,0,0
