,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Chelsea Women,84.5,80.3,12.7,7.0,278849,110000,88282,14003,7715
2,Arsenal Women,77.78,73.4,13.2,13.4,256659,110000,80721,14496,14783
3,Manchester City Women,77.27,72.6,14.0,13.4,254986,110000,79865,15391,14744
4,Manchester United Women,63.25,56.9,19.2,24.0,208724,110000,62551,21071,26378
5,Tottenham Hotspur Women,42.76,35.8,20.7,43.4,141092,110000,39432,22796,47772
6,Everton Women,41.06,34.2,20.5,45.3,135513,110000,37669,22506,49825
7,West Ham United Women,37.22,30.4,20.3,49.2,122839,110000,33493,22360,54147
8,Brighton & Hove Albion Women,35.26,28.6,19.8,51.5,116348,110000,31512,21812,56676
9,Reading Women,33.72,27.0,20.1,52.9,111260,110000,29709,22133,58158
10,Aston Villa Ladies,29.76,23.1,20.1,56.9,98218,110000,25383,22069,62548
11,Leicester City WFC,22.72,16.8,17.8,65.4,74983,110000,18462,19597,71941
12,Birmingham City Women,18.81,13.1,17.0,69.9,62070,110000,14462,18684,76854
