,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,82.71,78.3,13.3,8.4,188577,76000,59487,10116,6397
2,Real Madrid,79.12,74.1,15.0,10.9,180386,76000,56322,11420,8258
3,Ath Madrid,69.78,62.5,21.8,15.7,159107,76000,47520,16547,11933
4,Sevilla,56.81,49.1,23.0,27.9,129521,76000,37353,17462,21185
5,Ath Bilbao,52.87,44.5,25.2,30.3,120550,76000,33802,19144,23054
6,Villarreal,49.29,40.7,25.8,33.5,112375,76000,30921,19612,25467
7,Sociedad,48.39,39.9,25.4,34.7,110325,76000,30347,19284,26369
8,Valencia,46.11,37.7,25.2,37.1,105136,76000,28664,19144,28192
9,Malaga,41.48,32.8,26.0,41.2,94566,76000,24944,19734,31322
10,Eibar,40.66,32.2,25.5,42.3,92709,76000,24441,19386,32173
11,Celta,40.28,31.9,25.1,43.0,91837,76000,24247,19096,32657
12,Espanol,39.18,30.7,25.6,43.8,89335,76000,23297,19444,33259
13,La Coruna,38.57,30.0,25.8,44.2,87938,76000,22777,19607,33616
14,Las Palmas,38.39,30.3,24.3,45.4,87531,76000,23024,18459,34517
15,Betis,37.29,28.8,25.3,45.8,85027,76000,21926,19249,34825
16,Leganes,36.64,28.0,26.1,46.0,83549,76000,21246,19811,34943
17,Alaves,35.31,26.7,25.7,47.5,80504,76000,20317,19553,36130
18,Sp Gijon,32.74,24.7,24.0,51.2,74657,76000,18796,18269,38935
19,Granada,28.45,20.9,22.5,56.5,64876,76000,15917,17125,42958
20,Osasuna,27.04,19.5,22.7,57.9,61656,76000,14814,17214,43972
