,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Juventus,68.76,60.4,24.9,14.6,152647,74000,44731,18454,10815
2,Milan,67.49,59.2,24.8,16.0,153873,76000,45009,18846,12145
3,Inter,62.28,53.4,26.5,20.0,141991,76000,40605,20176,15219
4,Roma,52.05,42.5,28.7,28.8,115542,74000,31431,21249,21320
5,Udinese,49.6,40.1,28.7,31.3,113091,76000,30438,21777,23785
6,Sampdoria,47.64,38.0,28.9,33.1,108621,76000,28884,21969,25147
7,Lazio,44.75,34.9,29.5,35.6,96669,72000,25150,21219,25631
8,Palermo,44.36,34.5,29.7,35.8,95822,72000,24812,21386,25802
9,Fiorentina,44.02,34.1,29.8,36.1,100355,76000,25900,22655,27445
10,Parma,43.46,33.8,28.9,37.3,99079,76000,25704,21967,28329
11,Bologna,40.98,31.3,29.1,39.6,88511,72000,22510,20981,28509
12,Chievo,40.12,30.3,29.4,40.3,91483,76000,23052,22327,30621
13,Lecce,39.6,30.4,27.7,41.9,87923,74000,22466,20525,31009
14,Cagliari,38.98,29.2,29.4,41.4,84186,72000,20997,21195,29808
15,Brescia,38.04,28.7,27.9,43.4,84456,74000,21269,20649,32082
16,Reggina,37.65,27.9,29.3,42.8,76812,68000,18959,19935,29106
17,Siena,37.43,27.9,28.5,43.6,85339,76000,21226,21661,33113
18,Messina,36.19,26.5,29.0,44.5,80332,74000,19621,21469,32910
19,Livorno,36.17,26.2,29.8,44.0,80302,74000,19421,22039,32540
20,Atalanta,34.43,25.5,26.9,47.6,78499,76000,19348,20455,36197
