,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.23,60.0,21.8,18.3,153278,76000,45578,16544,13878
2,Arsenal,65.55,57.9,22.9,19.2,149447,76000,44021,17384,14595
3,Chelsea,60.01,51.7,24.8,23.4,136814,76000,39310,18884,17806
4,Man United,58.1,49.6,25.6,24.8,132475,76000,37676,19447,18877
5,Tottenham,57.62,49.3,24.9,25.8,131364,76000,37472,18948,19580
6,Liverpool,56.7,48.3,25.2,26.5,129275,76000,36716,19127,20157
7,Southampton,50.74,41.8,26.9,31.3,115690,76000,31757,20419,23824
8,Everton,47.16,38.5,26.1,35.4,107525,76000,29232,19829,26939
9,Leicester,46.6,37.8,26.3,35.8,106246,76000,28743,20017,27240
10,Bournemouth,40.88,32.0,26.5,41.4,93199,76000,24350,20149,31501
11,Crystal Palace,40.84,32.0,26.5,41.5,93121,76000,24319,20164,31517
12,West Ham,40.51,32.0,25.6,42.4,92374,76000,24313,19435,32252
13,Swansea,39.55,30.8,26.4,42.9,90165,76000,23375,20040,32585
14,Stoke,38.83,29.8,27.0,43.2,88525,76000,22674,20503,32823
15,Norwich,36.53,27.8,26.3,46.0,83299,76000,21112,19963,34925
16,Watford,36.52,27.7,26.4,45.9,83259,76000,21066,20061,34873
17,Newcastle,35.28,26.9,25.2,47.9,80448,76000,20426,19170,36404
18,West Brom,34.1,25.3,26.3,48.4,77741,76000,19254,19979,36767
19,Sunderland,32.18,23.8,25.1,51.1,73361,76000,18099,19064,38837
20,Aston Villa,30.0,21.7,24.8,53.5,68411,76000,16524,18839,40637
