,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Monaco,60.45,51.7,26.1,22.1,137834,76000,39322,19868,16810
2,Lyon,59.09,50.3,26.5,23.2,134718,76000,38193,20139,17668
3,Paris SG,56.18,47.0,27.4,25.5,128079,76000,35740,20859,19401
4,Marseille,52.3,43.3,27.1,29.6,119251,76000,32879,20614,22507
5,Auxerre,51.58,42.2,28.2,29.6,117604,76000,32067,21403,22530
6,Sochaux,48.98,39.7,27.8,32.5,111666,76000,30192,21090,24718
7,Bordeaux,48.02,38.6,28.2,33.2,109488,76000,29363,21399,25238
8,Nantes,47.44,38.1,27.9,34.0,108165,76000,28987,21204,25809
9,Lens,44.89,35.6,27.9,36.5,102344,76000,27038,21230,27732
10,Nice,44.53,35.1,28.3,36.6,101521,76000,26680,21481,27839
11,Lille,42.3,32.9,28.1,39.0,96448,76000,25036,21340,29624
12,Bastia,41.58,32.3,27.9,39.8,94809,76000,24527,21228,30245
13,Rennes,41.1,31.9,27.6,40.5,93712,76000,24235,21007,30758
14,Strasbourg,41.08,31.6,28.5,39.9,93668,76000,24011,21635,30354
15,Guingamp,39.15,30.0,27.6,42.4,89273,76000,22767,20972,32261
16,Toulouse,38.84,29.8,27.2,43.0,88556,76000,22625,20681,32694
17,Montpellier,38.68,29.6,27.2,43.2,88196,76000,22499,20699,32802
18,Metz,38.53,29.2,27.9,42.9,87848,76000,22220,21188,32592
19,Ajaccio,38.09,29.0,27.3,43.7,86848,76000,22031,20755,33214
20,Le Mans,35.24,26.3,26.9,46.8,80337,76000,19953,20478,35569
