,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,68.77,61.3,22.4,16.3,784,380,233,85,62
2,Arsenal,65.88,59.2,20.0,20.8,751,380,225,76,79
3,Chelsea,58.6,50.8,23.4,25.8,668,380,193,89,98
4,Man United,58.25,49.7,25.5,24.7,664,380,189,97,94
5,Tottenham,56.67,48.9,23.2,27.9,646,380,186,88,106
6,Liverpool,55.96,47.6,25.0,27.4,638,380,181,95,104
7,Southampton,49.56,40.0,28.7,31.3,565,380,152,109,119
8,Everton,49.47,41.3,24.5,34.2,564,380,157,93,130
9,Leicester,47.72,39.7,23.9,36.3,544,380,151,91,138
10,Crystal Palace,41.58,33.9,22.9,43.2,474,380,129,87,164
11,Bournemouth,41.4,32.1,27.9,40.0,472,380,122,106,152
12,West Ham,40.88,32.6,24.7,42.6,466,380,124,94,162
13,Swansea,40.79,31.1,29.2,39.7,465,380,118,111,151
14,Newcastle,39.39,30.5,26.6,42.9,449,380,116,101,163
15,Stoke,38.42,30.0,25.3,44.7,438,380,114,96,170
16,Norwich,35.35,26.6,26.3,47.1,403,380,101,100,179
17,West Brom,34.12,25.5,25.8,48.7,389,380,97,98,185
18,Sunderland,31.93,23.7,24.7,51.6,364,380,90,94,196
19,Aston Villa,31.23,22.9,25.0,52.1,356,380,87,95,198
20,Watford,29.82,19.7,30.3,50.0,340,380,75,115,190
