,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,65.9,58.1,23.4,18.5,134440,68000,39507,15919,12574
2,Dortmund,58.3,49.9,25.3,24.9,115429,66000,32919,16672,16409
3,Schalke 04,52.85,44.2,26.1,29.8,107813,68000,30031,17720,20249
4,Hertha,52.56,43.8,26.2,30.0,104060,66000,28920,17300,19780
5,Leverkusen,50.07,41.5,25.7,32.8,99140,66000,27401,16937,21662
6,Werder Bremen,49.96,41.1,26.5,32.4,101921,68000,27969,18014,22017
7,Stuttgart,49.66,41.0,26.0,33.0,101312,68000,27878,17678,22444
8,Hamburg,47.01,38.3,26.1,35.6,95894,68000,26038,17780,24182
9,Munich 1860,44.55,35.6,26.9,37.6,90876,68000,24205,18261,25534
10,Wolfsburg,43.78,35.0,26.5,38.6,89303,68000,23768,17999,26233
11,Kaiserslautern,43.45,34.5,26.8,38.7,88633,68000,23468,18229,26303
12,Bochum,39.77,30.9,26.5,42.6,81130,68000,21042,18004,28954
13,M'gladbach,39.65,30.9,26.2,42.9,80896,68000,21030,17806,29164
14,Bielefeld,39.01,30.4,25.9,43.7,79577,68000,20661,17594,29745
15,Hansa Rostock,38.79,30.0,26.2,43.7,79122,68000,20432,17826,29742
16,Nurnberg,37.63,29.0,26.0,45.0,74501,66000,19116,17153,29731
17,Hannover,36.94,28.2,26.2,45.6,75361,68000,19188,17797,31015
18,Cottbus,32.6,24.0,25.7,50.3,66507,68000,16342,17481,34177
