,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Real Madrid,66.51,58.8,23.1,18.1,119716,60000,35281,13873,10846
2,Barcelona,61.93,53.7,24.7,21.6,111467,60000,32207,14846,12947
3,La Coruna,58.33,49.9,25.3,24.8,104996,60000,29930,15206,14864
4,Valencia,57.64,49.1,25.7,25.2,103751,60000,29443,15422,15135
5,Celta,52.87,43.9,26.8,29.3,95170,60000,26366,16072,17562
6,Alaves,47.4,38.4,26.9,34.7,85321,60000,23058,16147,20795
7,Betis,47.23,38.0,27.8,34.2,85020,60000,22785,16665,20550
8,Ath Bilbao,45.97,36.9,27.1,35.9,82738,60000,22150,16288,21562
9,Mallorca,43.45,34.6,26.7,38.8,78211,60000,20740,15991,23269
10,Espanol,41.15,32.2,27.0,40.9,74078,60000,19299,16181,24520
11,Villarreal,40.69,31.8,26.6,41.6,73235,60000,19094,15953,24953
12,Sevilla,40.68,31.6,27.3,41.1,73217,60000,18948,16373,24679
13,Malaga,40.44,31.5,26.8,41.7,72795,60000,18903,16086,25011
14,Valladolid,40.37,31.4,26.8,41.7,72659,60000,18852,16103,25045
15,Las Palmas,40.06,31.1,26.9,42.0,72101,60000,18659,16124,25217
16,Sociedad,39.28,30.4,26.8,42.9,70705,60000,18216,16057,25727
17,Zaragoza,39.14,30.3,26.4,43.2,70460,60000,18205,15845,25950
18,Osasuna,37.21,28.4,26.4,45.2,66977,60000,17053,15818,27129
19,Tenerife,36.04,27.2,26.5,46.3,64868,60000,16320,15908,27772
20,Vallecano,35.64,26.9,26.3,46.8,64152,60000,16128,15768,28104
