,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Chelsea,70.96,64.0,20.9,15.1,161780,76000,48629,15893,11478
2,Man City,69.55,62.7,20.4,16.8,158573,76000,47679,15536,12785
3,Arsenal,63.41,55.7,23.2,21.1,144580,76000,42312,17644,16044
4,Man United,62.71,54.9,23.6,21.6,142984,76000,41691,17911,16398
5,Liverpool,59.13,51.1,24.2,24.8,134811,76000,38811,18378,18811
6,Southampton,52.25,43.6,26.1,30.4,119140,76000,33104,19828,23068
7,Tottenham,51.33,42.9,25.3,31.8,117036,76000,32609,19209,24182
8,Everton,49.05,40.3,26.3,33.4,111825,76000,30607,20004,25389
9,Swansea,41.69,33.0,26.1,40.9,95046,76000,25064,19854,31082
10,Stoke,40.74,31.9,26.7,41.5,92895,76000,24207,20274,31519
11,West Ham,39.95,31.4,25.7,42.9,91094,76000,23844,19562,32594
12,Newcastle,38.73,30.1,26.0,43.9,88300,76000,22844,19768,33388
13,Leicester,37.43,28.9,25.5,45.6,85330,76000,21984,19378,34638
14,West Brom,37.34,28.5,26.5,45.0,85132,76000,21675,20107,34218
15,Crystal Palace,36.3,27.6,26.0,46.4,82754,76000,21002,19748,35250
16,Hull,35.32,26.7,26.0,47.3,80532,76000,20259,19755,35986
17,Aston Villa,34.14,25.6,25.7,48.7,77835,76000,19436,19527,37037
18,Sunderland,34.05,25.2,26.5,48.3,77643,76000,19162,20157,36681
19,Burnley,31.69,23.3,25.1,51.6,72253,76000,17728,19069,39203
20,QPR,30.87,22.7,24.4,52.9,70389,76000,17285,18534,40181
