,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,61.04,52.2,26.6,21.3,139170,76000,39661,20187,16152
2,Marseille,60.69,51.9,26.3,21.8,138369,76000,39451,20016,16533
3,Lille,60.07,51.1,27.0,22.0,136958,76000,38823,20489,16688
4,Paris SG,56.98,47.8,27.7,24.6,129915,76000,36299,21018,18683
5,Bordeaux,51.69,42.1,28.7,29.2,117853,76000,32024,21781,22195
6,Rennes,49.71,40.1,28.9,31.1,113329,76000,30464,21937,23599
7,Toulouse,44.7,35.1,28.9,36.0,101920,76000,26652,21964,27384
8,Auxerre,43.97,34.0,29.9,36.1,100263,76000,25849,22716,27435
9,St Etienne,43.91,34.2,29.1,36.7,100113,76000,26009,22086,27905
10,Lorient,43.52,33.8,29.2,37.0,99223,76000,25673,22204,28123
11,Montpellier,43.42,33.7,29.2,37.1,98991,76000,25590,22221,28189
12,Monaco,42.85,33.2,29.1,37.8,97698,76000,25203,22089,28708
13,Valenciennes,41.57,31.9,29.0,39.1,94782,76000,24242,22056,29702
14,Sochaux,41.15,31.6,28.7,39.7,93823,76000,23999,21826,30175
15,Nancy,40.93,31.4,28.6,40.0,93315,76000,23858,21741,30401
16,Caen,39.7,30.1,28.8,41.1,90520,76000,22881,21877,31242
17,Brest,39.01,29.4,28.7,41.8,88937,76000,22365,21842,31793
18,Lens,38.58,29.1,28.5,42.4,87972,76000,22096,21684,32220
19,Nice,38.01,28.4,28.8,42.8,86652,76000,21589,21885,32526
20,Arles,24.12,15.9,24.7,59.4,54994,76000,12069,18787,45144
