,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,68.47,60.2,24.7,15.1,156107,76000,45790,18737,11473
2,Marseille,54.02,44.1,29.6,26.2,123169,76000,33551,22516,19933
3,Lens,51.17,41.1,30.2,28.7,116669,76000,31251,22916,21833
4,Lille,50.49,40.6,29.7,29.7,115122,76000,30861,22539,22600
5,Bordeaux,50.45,40.5,29.9,29.6,115019,76000,30771,22706,22523
6,Paris SG,49.58,39.5,30.2,30.3,113043,76000,30041,22920,23039
7,Monaco,46.99,36.9,30.2,32.9,107132,76000,28050,22982,24968
8,Auxerre,45.4,35.4,29.9,34.7,103510,76000,26932,22714,26354
9,St Etienne,45.39,35.5,29.6,34.9,103492,76000,27006,22474,26520
10,Rennes,44.32,34.3,30.0,35.7,101040,76000,26081,22797,27122
11,Sochaux,43.64,33.5,30.3,36.2,99510,76000,25493,23031,27476
12,Toulouse,43.2,33.1,30.4,36.6,98488,76000,25135,23083,27782
13,Nancy,42.3,32.4,29.8,37.8,96442,76000,24598,22648,28754
14,Le Mans,41.08,31.3,29.3,39.4,93651,76000,23791,22278,29931
15,Nice,40.47,30.6,29.7,39.8,92261,76000,23242,22535,30223
16,Nantes,38.96,29.2,29.1,41.6,88834,76000,22229,22147,31624
17,Lorient,37.58,27.7,29.6,42.7,85681,76000,21067,22480,32453
18,Valenciennes,37.22,27.4,29.4,43.2,84870,76000,20837,22359,32804
19,Troyes,35.76,26.0,29.4,44.7,81533,76000,19738,22319,33943
20,Sedan,35.28,25.7,28.7,45.6,80441,76000,19550,21791,34659
