,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Real Madrid,67.1,59.3,23.5,17.3,148966,74000,43869,17359,12772
2,Valencia,57.84,49.2,26.0,24.8,131877,76000,37368,19773,18859
3,Barcelona,57.22,48.7,25.4,25.8,130456,76000,37043,19327,19630
4,La Coruna,56.55,47.8,26.4,25.8,128942,76000,36293,20063,19644
5,Sociedad,52.69,43.8,26.7,29.5,120132,76000,33270,20322,22408
6,Celta,50.03,41.2,26.4,32.4,114068,76000,31330,20078,24592
7,Betis,48.52,39.5,27.1,33.4,107716,74000,29209,20089,24702
8,Ath Madrid,46.4,37.4,26.9,35.6,105801,76000,28444,20469,27087
9,Mallorca,44.59,35.6,27.0,37.4,101675,76000,27052,20519,28429
10,Ath Bilbao,43.34,34.4,26.9,38.7,98817,76000,26120,20457,29423
11,Malaga,42.86,33.8,27.2,39.0,97725,76000,25697,20634,29669
12,Sevilla,41.55,32.6,26.9,40.5,94733,76000,24771,20420,30809
13,Espanol,39.99,30.9,27.2,41.9,91187,76000,23512,20651,31837
14,Valladolid,39.45,30.4,27.0,42.5,89952,76000,23142,20526,32332
15,Villarreal,39.21,30.3,26.7,43.0,89391,76000,23035,20286,32679
16,Alaves,38.99,30.0,27.0,43.0,88887,76000,22777,20556,32667
17,Santander,38.78,29.7,27.2,43.1,88412,76000,22591,20639,32770
18,Osasuna,38.47,29.5,26.8,43.7,87722,76000,22456,20354,33190
19,Vallecano,36.26,27.6,26.1,46.4,82674,76000,20952,19818,35230
20,Recreativo,32.45,23.9,25.6,50.5,73983,76000,18185,19428,38387
