,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,83.3,78.9,13.1,8.0,189930,76000,59993,9951,6056
2,Real Madrid,80.81,76.2,14.0,9.9,184246,76000,57880,10606,7514
3,Ath Madrid,66.47,58.9,22.6,18.5,151551,76000,44792,17175,14033
4,Sevilla,56.22,48.2,23.9,27.8,128176,76000,36666,18178,21156
5,Valencia,55.93,48.0,23.7,28.3,127515,76000,36511,17982,21507
6,Villarreal,54.41,46.4,24.0,29.6,124047,76000,35274,18225,22501
7,Ath Bilbao,49.26,40.8,25.2,33.9,112313,76000,31042,19187,25771
8,Celta,47.5,39.2,24.9,35.9,108295,76000,29791,18922,27287
9,Malaga,44.43,35.9,25.6,38.5,101294,76000,27283,19445,29272
10,Sociedad,42.63,34.1,25.5,40.4,97186,76000,25944,19354,30702
11,Espanol,42.03,33.3,26.1,40.6,95834,76000,25342,19808,30850
12,Vallecano,38.71,30.6,24.2,45.2,88255,76000,23285,18400,34315
13,Granada,35.53,27.1,25.4,47.5,81003,76000,20561,19320,36119
14,Getafe,35.09,26.5,25.9,47.7,80000,76000,20114,19658,36228
15,La Coruna,33.53,25.1,25.4,49.5,76458,76000,19054,19296,37650
16,Eibar,33.24,24.9,25.0,50.1,75776,76000,18934,18974,38092
17,Elche,32.16,23.8,25.0,51.1,73328,76000,18097,19037,38866
18,Almeria,31.51,23.5,24.0,52.5,71853,76000,17870,18243,39887
19,Levante,30.53,22.4,24.2,53.3,69609,76000,17062,18423,40515
20,Cordoba,28.15,20.2,23.8,56.0,64185,76000,15359,18108,42533
