,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Juventus,71.31,63.6,23.0,13.3,162582,76000,48356,17514,10130
2,Milan,70.06,62.2,23.5,14.2,159736,76000,47281,17893,10826
3,Inter,66.74,58.4,25.0,16.6,152168,76000,44394,18986,12620
4,Fiorentina,57.14,48.1,27.1,24.8,130279,76000,36573,20560,18867
5,Roma,55.8,46.6,27.5,25.9,127213,76000,35445,20878,19677
6,Palermo,47.02,37.6,28.3,34.1,107215,76000,28575,21490,25935
7,Sampdoria,46.86,36.7,30.3,32.9,106848,76000,27929,23061,25010
8,Lazio,46.62,36.7,29.7,33.6,106298,76000,27918,22544,25538
9,Udinese,46.09,35.9,30.5,33.6,105082,76000,27306,23164,25530
10,Chievo,42.27,32.4,29.7,37.9,96379,76000,24591,22606,28803
11,Livorno,41.21,31.4,29.4,39.2,93950,76000,23857,22379,29764
12,Cagliari,38.72,29.1,29.0,42.0,88279,76000,22090,22009,31901
13,Messina,37.48,28.0,28.4,43.6,85465,76000,21288,21601,33111
14,Siena,37.3,27.4,29.8,42.8,82798,74000,20252,22042,31706
15,Parma,36.97,27.4,28.7,43.9,82074,74000,20287,21213,32500
16,Reggina,35.08,25.7,28.1,46.2,77881,74000,19032,20785,34183
17,Empoli,35.02,25.6,28.2,46.2,77740,74000,18958,20866,34176
18,Ascoli,33.83,23.9,29.7,46.4,77131,76000,18188,22567,35245
19,Lecce,32.46,23.4,27.0,49.5,74016,76000,17822,20550,37628
20,Treviso,27.76,18.8,26.9,54.3,63303,76000,14295,20418,41287
