,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,81.07,76.2,14.7,9.1,184834,76000,57879,11197,6924
2,Lyon,66.47,59.3,21.5,19.2,151551,76000,45081,16308,14611
3,Marseille,58.68,50.6,24.2,25.2,133782,76000,38474,18360,19166
4,Lille,50.95,41.9,27.2,30.9,116169,76000,31842,20643,23515
5,Monaco,50.52,41.8,26.2,32.0,115177,76000,31755,19912,24333
6,St Etienne,49.48,40.5,26.9,32.6,112806,76000,30782,20460,24758
7,Montpellier,46.71,37.2,28.4,34.3,106498,76000,28292,21622,26086
8,Rennes,46.51,37.3,27.5,35.2,106046,76000,28384,20894,26722
9,Nantes,42.84,33.7,27.4,38.9,97676,76000,25612,20840,29548
10,Bordeaux,41.98,32.9,27.2,39.9,95704,76000,25022,20638,30340
11,Nice,41.89,32.6,27.9,39.5,95514,76000,24764,21222,30014
12,Reims,41.81,32.5,28.0,39.5,95334,76000,24693,21255,30052
13,Strasbourg,39.78,30.7,27.2,42.1,90694,76000,23343,20665,31992
14,Nimes,39.62,30.8,26.4,42.8,90338,76000,23426,20060,32514
15,Angers,39.23,30.0,27.7,42.3,89437,76000,22793,21058,32149
16,Toulouse,36.82,27.9,26.9,45.3,83946,76000,21170,20436,34394
17,Guingamp,36.06,27.1,26.9,46.0,82212,76000,20601,20409,34990
18,Dijon,35.83,27.2,25.9,46.9,81698,76000,20683,19649,35668
19,Amiens,34.3,25.5,26.5,48.0,78204,76000,19351,20151,36498
20,Caen,32.64,23.8,26.5,49.7,74411,76000,18084,20159,37757
