,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,57.48,48.4,27.2,24.4,82774,48000,23243,13045,11712
2,Lens,55.85,46.9,27.0,26.2,83777,50000,23434,13475,13091
3,Paris SG,54.72,45.3,28.3,26.4,82087,50000,22652,14131,13217
4,Auxerre,51.57,42.4,27.6,30.0,77351,50000,21181,13808,15011
5,Bordeaux,50.57,41.2,28.2,30.6,75857,50000,20589,14090,15321
6,Lille,49.64,40.4,27.7,31.9,74459,50000,20208,13835,15957
7,Monaco,45.93,36.6,27.9,35.5,68897,50000,18320,13937,17743
8,Nantes,45.86,36.5,28.1,35.4,68791,50000,18248,14047,17705
9,Troyes,45.57,36.2,28.1,35.7,65617,48000,17376,13489,17135
10,Marseille,45.43,36.0,28.2,35.7,68146,50000,18007,14125,17868
11,Bastia,40.86,31.7,27.6,40.8,61291,50000,15838,13777,20385
12,Sochaux,40.86,31.6,27.8,40.6,61285,50000,15795,13900,20305
13,Montpellier,40.18,30.6,28.8,40.6,57865,48000,14682,13819,19499
14,Sedan,40.17,30.8,28.2,41.1,60252,50000,15391,14079,20530
15,Rennes,39.32,30.1,27.8,42.2,58986,50000,15037,13875,21088
16,Guingamp,38.26,29.0,27.9,43.1,55092,48000,13898,13398,20704
17,Metz,37.4,28.5,26.8,44.8,56098,50000,14237,13387,22376
18,Lorient,37.06,28.2,26.7,45.1,55593,50000,14082,13347,22571
