,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,77.37,71.0,19.0,10.0,176395,76000,53996,14407,7597
2,Lyon,58.09,49.4,26.2,24.4,132450,76000,37516,19902,18582
3,Marseille,55.12,46.2,26.8,27.0,122365,74000,34174,19843,19983
4,Monaco,54.53,45.4,27.4,27.2,124329,76000,34497,20838,20665
5,St Etienne,50.02,40.7,28.0,31.3,114055,76000,30923,21286,23791
6,Lille,49.61,40.1,28.5,31.4,113116,76000,30475,21691,23834
7,Bordeaux,47.4,38.1,27.9,34.0,108076,76000,28949,21229,25822
8,Rennes,45.37,35.6,29.2,35.1,103449,76000,27079,22212,26709
9,Toulouse,44.4,35.2,27.7,37.1,101242,76000,26719,21085,28196
10,Nice,44.18,34.9,27.9,37.2,100726,76000,26517,21175,28308
11,Montpellier,43.1,33.8,28.0,38.3,98274,76000,25677,21243,29080
12,Caen,42.05,32.8,27.7,39.5,95881,76000,24939,21064,29997
13,Nantes,42.03,32.3,29.2,38.5,93300,74000,23888,21636,28476
14,Guingamp,40.34,30.9,28.2,40.8,91973,76000,23509,21446,31045
15,Reims,39.91,30.6,27.9,41.5,90986,76000,23262,21200,31538
16,Lorient,39.7,30.4,27.8,41.8,90522,76000,23135,21117,31748
17,Angers,36.75,27.2,28.7,44.1,83791,76000,20661,21808,33531
18,Ajaccio GFCO,35.08,26.1,27.0,46.9,79988,76000,19832,20492,35676
19,Bastia,34.87,25.6,28.0,46.5,79503,76000,19420,21243,35337
20,Troyes,29.3,21.1,24.5,54.4,66803,76000,16056,18635,41309
