,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,70.39,63.1,22.0,14.9,160482,76000,47919,16725,11356
2,Real Madrid,66.17,58.5,23.0,18.5,150876,76000,44463,17487,14050
3,Sevilla,57.31,48.8,25.6,25.7,130663,76000,37079,19426,19495
4,Ath Madrid,53.66,44.8,26.6,28.6,122340,76000,34051,20187,21762
5,Villarreal,52.57,43.8,26.3,29.9,119859,76000,33290,19989,22721
6,Valencia,51.89,42.9,26.8,30.2,118298,76000,32636,20390,22974
7,Zaragoza,47.67,38.7,26.9,34.4,108688,76000,29427,20407,26166
8,Espanol,45.4,36.3,27.2,36.4,103521,76000,27610,20691,27699
9,Mallorca,42.86,33.6,27.8,38.6,97713,76000,25523,21144,29333
10,Santander,42.58,33.4,27.4,39.1,97086,76000,25419,20829,29752
11,Osasuna,42.18,33.2,27.0,39.8,96163,76000,25211,20530,30259
12,Getafe,41.91,32.8,27.5,39.8,95559,76000,24896,20871,30233
13,La Coruna,41.02,32.0,27.0,41.0,93533,76000,24328,20549,31123
14,Ath Bilbao,40.54,31.6,26.9,41.5,92430,76000,23985,20475,31540
15,Betis,40.17,31.1,27.1,41.8,91592,76000,23667,20591,31742
16,Valladolid,39.58,30.7,26.5,42.7,90243,76000,23356,20175,32469
17,Recreativo,38.66,29.8,26.4,43.7,88142,76000,22684,20090,33226
18,Almeria,37.05,28.2,26.5,45.3,84468,76000,21432,20172,34396
19,Murcia,33.29,24.6,26.0,49.3,75905,76000,18704,19793,37503
20,Levante,27.65,19.6,24.1,56.3,63038,76000,14919,18281,42800
