,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Inter,69.9,61.9,24.1,14.0,159369,76000,47021,18306,10673
2,Milan,65.68,57.2,25.5,17.3,149744,76000,43443,19415,13142
3,Roma,61.47,52.6,26.7,20.7,140159,76000,39951,20306,15743
4,Fiorentina,57.93,48.7,27.7,23.6,132077,76000,37012,21041,17947
5,Palermo,53.39,43.7,29.2,27.2,121719,76000,33186,22161,20653
6,Lazio,50.39,40.9,28.6,30.6,114893,76000,31058,21719,23223
7,Udinese,45.19,34.9,31.0,34.2,103043,76000,26505,23528,25967
8,Sampdoria,42.81,33.0,29.4,37.6,97598,76000,25084,22346,28570
9,Atalanta,41.93,31.8,30.3,37.9,95602,76000,24192,23026,28782
10,Reggina,41.53,31.7,29.4,38.9,94696,76000,24118,22342,29540
11,Siena,40.67,30.8,29.7,39.5,92738,76000,23379,22601,30020
12,Torino,40.08,29.5,31.6,38.8,91374,76000,22447,24033,29520
13,Chievo,39.98,30.4,28.9,40.8,91154,76000,23070,21944,30986
14,Cagliari,39.96,30.0,29.9,40.1,91101,76000,22783,22752,30465
15,Livorno,39.47,28.9,31.6,39.5,89985,76000,21984,24033,29983
16,Parma,38.73,29.0,29.3,41.7,88305,76000,22003,22296,31701
17,Empoli,38.48,28.3,30.6,41.1,87725,76000,21496,23237,31267
18,Catania,36.64,26.9,29.3,43.9,83545,76000,20438,22231,33331
19,Messina,32.81,23.6,27.6,48.8,74803,76000,17950,20953,37097
20,Ascoli,26.99,18.5,25.5,56.0,61529,76000,14039,19412,42549
