,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,65.12,56.6,25.7,17.8,148467,76000,42988,19503,13509
2,Marseille,59.88,50.7,27.6,21.7,136530,76000,38525,20955,16520
3,Bordeaux,59.28,50.1,27.4,22.4,135149,76000,38103,20840,17057
4,Paris SG,53.7,44.1,28.7,27.1,122433,76000,33532,21837,20631
5,Lille,52.17,42.5,29.1,28.4,118940,76000,32281,22097,21622
6,Rennes,49.76,39.7,30.1,30.2,113455,76000,30201,22852,22947
7,Toulouse,45.84,35.9,29.8,34.3,104510,76000,27276,22682,26042
8,St Etienne,45.82,36.1,29.2,34.7,104475,76000,27431,22182,26387
9,Nancy,42.44,32.4,30.2,37.4,96758,76000,24610,22928,28462
10,Nice,42.35,32.4,30.0,37.7,96555,76000,24592,22779,28629
11,Monaco,41.69,31.8,29.6,38.6,95054,76000,24195,22469,29336
12,Le Mans,41.4,31.4,30.0,38.6,94391,76000,23853,22832,29315
13,Sochaux,40.93,31.0,29.8,39.2,93328,76000,23572,22612,29816
14,Lorient,40.19,30.2,29.8,39.9,91633,76000,22989,22666,30345
15,Auxerre,40.05,30.2,29.6,40.2,91322,76000,22940,22502,30558
16,Caen,39.24,29.4,29.4,41.2,89467,76000,22379,22330,31291
17,Nantes,38.22,28.5,29.1,42.4,87153,76000,21681,22110,32209
18,Valenciennes,36.8,27.2,28.8,44.0,83905,76000,20668,21901,33431
19,Grenoble,36.51,26.7,29.6,43.8,83251,76000,20255,22486,33259
20,Le Havre,31.71,22.4,28.0,49.6,72300,76000,17005,21285,37710
