,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,69.67,62.3,22.2,15.6,142118,68000,42348,15074,10578
2,Werder Bremen,57.07,48.8,24.9,26.3,116415,68000,33161,16932,17907
3,Schalke 04,55.72,47.1,25.8,27.1,113664,68000,32040,17544,18416
4,Hamburg,55.52,47.0,25.6,27.4,113256,68000,31950,17406,18644
5,Wolfsburg,54.93,46.4,25.5,28.1,112066,68000,31577,17335,19088
6,Leverkusen,54.47,45.9,25.6,28.5,111123,68000,31243,17394,19363
7,Stuttgart,53.03,44.4,25.9,29.7,108185,68000,30196,17597,20207
8,Dortmund,49.18,40.4,26.4,33.2,100336,68000,27457,17965,22578
9,Hertha,47.99,39.2,26.4,34.4,97894,68000,26657,17923,23420
10,Hoffenheim,46.75,38.2,25.7,36.1,95364,68000,25969,17457,24574
11,Hannover,38.3,29.7,25.9,44.4,78138,68000,20171,17625,30204
12,FC Koln,35.91,27.1,26.4,46.5,73257,68000,18438,17943,31619
13,Bochum,35.76,27.1,26.1,46.8,72956,68000,18407,17735,31858
14,Ein Frankfurt,35.72,27.1,25.9,47.0,72866,68000,18421,17603,31976
15,M'gladbach,35.41,26.8,25.9,47.3,72227,68000,18211,17594,32195
16,Bielefeld,33.78,25.4,25.1,49.5,68914,68000,17285,17059,33656
17,Karlsruhe,32.97,24.5,25.4,50.1,67263,68000,16660,17283,34057
18,Cottbus,31.3,23.1,24.6,52.3,63848,68000,15699,16751,35550
