,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,65.03,56.1,26.7,17.2,148260,76000,42663,20271,13066
2,Paris SG,53.66,43.8,29.6,26.6,122342,76000,33293,22463,20244
3,Marseille,52.19,42.3,29.6,28.1,119001,76000,32167,22500,21333
4,Monaco,51.94,42.0,29.9,28.2,118413,76000,31905,22698,21397
5,Bordeaux,50.76,41.0,29.3,29.7,115741,76000,31153,22282,22565
6,Lille,49.93,39.9,30.0,30.1,113836,76000,30338,22822,22840
7,Auxerre,49.8,39.9,29.8,30.3,113554,76000,30304,22642,23054
8,Lens,49.18,39.1,30.1,30.7,112125,76000,29743,22896,23361
9,Rennes,45.34,35.5,29.5,35.0,103370,76000,26975,22445,26580
10,St Etienne,44.29,34.3,29.9,35.8,100978,76000,26075,22753,27172
11,Nice,42.34,32.4,29.9,37.8,96535,76000,24614,22693,28693
12,Nantes,41.59,31.5,30.3,38.2,94822,76000,23936,23014,29050
13,Le Mans,40.38,30.3,30.4,39.4,92067,76000,22995,23082,29923
14,Sochaux,40.12,30.1,29.9,39.9,91484,76000,22909,22757,30334
15,Toulouse,40.09,30.1,30.0,39.9,91408,76000,22873,22789,30338
16,Nancy,39.16,29.3,29.6,41.1,89285,76000,22274,22463,31263
17,Strasbourg,37.05,27.3,29.1,43.5,84463,76000,20777,22132,33091
18,Ajaccio,36.83,27.0,29.4,43.6,83967,76000,20552,22311,33137
19,Troyes,36.68,26.8,29.5,43.6,83620,76000,20394,22438,33168
20,Metz,35.12,25.5,28.8,45.7,80077,76000,19408,21853,34739
