,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,67.23,58.8,25.4,15.9,153288,76000,44674,19266,12060
2,Marseille,54.44,44.9,28.5,26.5,124115,76000,34140,21695,20165
3,Bordeaux,52.26,42.6,29.1,28.3,119161,76000,32342,22135,21523
4,Paris SG,49.62,39.7,29.7,30.6,113131,76000,30192,22555,23253
5,Nancy,48.3,38.6,29.1,32.3,110135,76000,29330,22145,24525
6,Lille,46.2,36.2,30.0,33.8,105329,76000,27517,22778,25705
7,Monaco,46.05,36.0,30.2,33.8,104992,76000,27336,22984,25680
8,St Etienne,46.04,36.2,29.6,34.3,104981,76000,27507,22460,26033
9,Lens,45.95,36.1,29.5,34.4,104757,76000,27434,22455,26111
10,Rennes,45.67,35.8,29.7,34.5,104126,76000,27190,22556,26254
11,Le Mans,43.38,33.4,29.9,36.7,98908,76000,25401,22705,27894
12,Nice,42.85,32.8,30.0,37.1,97698,76000,24964,22806,28230
13,Auxerre,42.45,32.6,29.4,37.9,96793,76000,24809,22366,28825
14,Toulouse,42.11,32.2,29.9,38.0,96005,76000,24439,22688,28873
15,Sochaux,41.19,31.3,29.8,38.9,93916,76000,23757,22645,29598
16,Lorient,40.57,30.6,30.0,39.4,92506,76000,23225,22831,29944
17,Valenciennes,40.55,30.7,29.6,39.7,92461,76000,23334,22459,30207
18,Strasbourg,38.29,28.5,29.5,42.0,87303,76000,21624,22431,31945
19,Caen,38.11,28.2,29.6,42.1,86895,76000,21456,22527,32017
20,Metz,30.96,21.6,28.1,50.3,70578,76000,16407,21357,38236
