,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,66.41,58.5,23.6,17.8,135480,68000,39809,16053,12138
2,Werder Bremen,57.25,48.8,25.4,25.8,116799,68000,33174,17277,17549
3,Schalke 04,56.55,47.9,25.8,26.2,115367,68000,32605,17552,17843
4,Stuttgart,56.27,47.7,25.8,26.5,114799,68000,32409,17572,18019
5,Leverkusen,54.9,46.2,26.0,27.8,111993,68000,31444,17661,18895
6,Hertha,50.49,41.9,25.8,32.3,102995,68000,28486,17537,21977
7,Dortmund,50.41,41.6,26.4,32.0,102841,68000,28306,17923,21771
8,Hamburg,47.92,39.2,26.2,34.6,97764,68000,26654,17802,23544
9,Wolfsburg,45.49,36.7,26.3,37.0,92806,68000,24968,17902,25130
10,M'gladbach,40.46,31.9,25.7,42.4,82545,68000,21694,17463,28843
11,Kaiserslautern,40.23,31.7,25.7,42.6,82068,68000,21532,17472,28996
12,Hannover,39.33,30.7,25.9,43.4,80235,68000,20876,17607,29517
13,Bochum,38.67,30.0,25.9,44.1,78879,68000,20423,17610,29967
14,Nurnberg,37.76,29.1,25.9,45.0,77028,68000,19815,17583,30602
15,Bielefeld,37.29,28.7,25.8,45.5,76072,68000,19500,17572,30928
16,Mainz,37.2,28.7,25.5,45.8,75889,68000,19518,17335,31147
17,Hansa Rostock,34.76,26.1,25.8,48.0,70904,68000,17778,17570,32652
18,Freiburg,31.55,23.3,24.8,51.9,64361,68000,15834,16859,35307
