,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Juventus,70.52,63.3,21.6,15.1,160792,76000,48128,16408,11464
2,Napoli,62.79,54.7,24.4,20.9,143168,76000,41544,18536,15920
3,Roma,62.34,54.2,24.5,21.3,142140,76000,41181,18597,16222
4,Lazio,57.3,48.5,26.3,25.1,130635,76000,36874,20013,19113
5,Inter,56.09,47.4,25.9,26.6,127882,76000,36059,19705,20236
6,Fiorentina,56.08,47.5,25.6,26.8,127852,76000,36129,19465,20406
7,Milan,51.77,43.0,26.3,30.7,118046,76000,32679,20009,23312
8,Torino,46.18,36.9,27.7,35.3,105284,76000,28072,21068,26860
9,Sampdoria,45.37,36.2,27.5,36.3,103449,76000,27516,20901,27583
10,Genoa,41.56,32.6,27.0,40.4,94756,76000,24748,20512,30740
11,Palermo,41.28,32.3,27.0,40.7,94107,76000,24527,20526,30947
12,Udinese,40.08,31.2,26.8,42.1,91385,76000,23679,20348,31973
13,Empoli,39.34,30.5,26.5,43.0,89699,76000,23194,20117,32689
14,Atalanta,37.6,28.6,27.1,44.4,85719,76000,21720,20559,33721
15,Cagliari,37.6,28.9,26.0,45.1,85723,76000,21983,19774,34243
16,Sassuolo,37.28,28.5,26.3,45.2,84996,76000,21675,19971,34354
17,Verona,36.06,27.3,26.3,46.4,82222,76000,20734,20020,35246
18,Chievo,35.26,26.4,26.6,47.0,80382,76000,20052,20226,35722
19,Parma,33.17,24.9,25.0,50.2,75632,76000,18890,18962,38148
20,Cesena,25.91,17.9,24.2,58.0,59084,76000,13569,18377,44054
