,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,87.82,84.2,10.9,4.9,94847,36000,30311,3914,1775
2,Monaco,66.26,59.2,21.1,19.7,71561,36000,21318,7607,7075
3,Lyon,63.19,55.7,22.3,21.9,68245,36000,20068,8041,7891
4,Marseille,55.92,47.7,24.6,27.7,60392,36000,17180,8852,9968
5,Bordeaux,52.4,43.7,26.2,30.1,56596,36000,15717,9445,10838
6,Nice,47.97,39.0,26.8,34.2,51809,36000,14052,9653,12295
7,St Etienne,44.72,35.9,26.5,37.6,48295,36000,12919,9538,13543
8,Montpellier,44.43,35.6,26.6,37.8,47987,36000,12803,9578,13619
9,Lille,42.81,34.0,26.4,39.6,46233,36000,12237,9522,14241
10,Rennes,42.49,33.1,28.2,38.7,45888,36000,11906,10170,13924
11,Nantes,41.96,32.4,28.5,39.0,45312,36000,11682,10266,14052
12,Angers,41.16,32.0,27.4,40.6,44450,36000,11525,9875,14600
13,Guingamp,41.15,32.3,26.6,41.1,44439,36000,11617,9588,14795
14,Caen,40.15,30.9,27.7,41.4,43365,36000,11126,9987,14887
15,Toulouse,39.98,31.0,27.0,42.0,43178,36000,11148,9734,15118
16,Dijon,36.49,27.9,25.7,46.4,39412,36000,10050,9262,16688
17,Strasbourg,35.76,27.2,25.7,47.1,38624,36000,9788,9260,16952
18,Troyes,33.08,24.4,25.9,49.6,35729,36000,8799,9332,17869
19,Amiens,30.87,21.9,26.9,51.2,33343,36000,7882,9697,18421
20,Metz,27.15,19.2,23.9,56.9,29327,36000,6904,8615,20481
