,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,82.3,77.7,13.9,8.5,167901,68000,52824,9429,5747
2,Dortmund,65.56,58.5,21.0,20.4,133738,68000,39811,14305,13884
3,RB Leipzig,58.81,51.1,23.1,25.8,119976,68000,34750,15726,17524
4,Leverkusen,56.78,49.3,22.5,28.2,115825,68000,33500,15325,19175
5,Hoffenheim,56.77,49.6,21.6,28.8,115811,68000,33703,14702,19595
6,M'gladbach,50.74,42.8,23.7,33.4,103514,68000,29127,16133,22740
7,Ein Frankfurt,48.69,40.6,24.2,35.2,99328,68000,27620,16468,23912
8,Schalke 04,45.97,37.5,25.3,37.1,93779,68000,25515,17234,25251
9,Werder Bremen,45.61,37.5,24.4,38.1,93037,68000,25473,16618,25909
10,Wolfsburg,44.48,36.3,24.6,39.1,90745,68000,24665,16750,26585
11,Hertha,40.26,32.0,24.8,43.2,82138,68000,21756,16870,29374
12,Augsburg,38.0,30.0,23.9,46.0,77513,68000,20410,16283,31307
13,Stuttgart,35.39,27.3,24.1,48.5,72205,68000,18596,16417,32987
14,Mainz,35.15,27.1,24.2,48.7,71704,68000,18418,16450,33132
15,Freiburg,35.0,26.9,24.4,48.7,71410,68000,18264,16618,33118
16,Fortuna Dusseldorf,32.94,25.0,23.8,51.2,67190,68000,17013,16151,34836
17,Hannover,29.21,21.8,22.3,55.9,59589,68000,14807,15168,38025
18,Nurnberg,29.13,21.4,23.1,55.5,59433,68000,14584,15681,37735
