,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,71.0,64.5,19.6,15.9,161873,76000,48993,14894,12113
2,Chelsea,68.06,60.7,22.2,17.1,155180,76000,46099,16883,13018
3,Liverpool,65.75,58.4,22.0,19.6,149912,76000,44394,16730,14876
4,Arsenal,65.37,58.2,21.7,20.2,149044,76000,44194,16462,15344
5,Man United,63.47,55.7,23.3,21.0,144714,76000,42346,17676,15978
6,Tottenham,63.35,55.8,22.8,21.5,144432,76000,42373,17313,16314
7,Everton,49.35,40.8,25.5,33.6,112525,76000,31046,19387,25567
8,Southampton,49.08,40.3,26.3,33.4,111899,76000,30635,19994,25371
9,Leicester,43.04,34.4,25.9,39.7,98140,76000,26154,19678,30168
10,Crystal Palace,39.64,31.1,25.7,43.2,90384,76000,23616,19536,32848
11,West Ham,39.24,30.8,25.3,43.9,89477,76000,23412,19241,33347
12,Bournemouth,38.45,30.0,25.4,44.6,87669,76000,22794,19287,33919
13,Stoke,37.88,29.3,25.7,45.0,86357,76000,22277,19526,34197
14,West Brom,35.83,27.2,25.8,47.0,81696,76000,20705,19581,35714
15,Swansea,35.19,26.9,25.0,48.2,80233,76000,20415,18988,36597
16,Middlesbrough,33.91,25.3,25.7,48.9,77325,76000,19263,19536,37201
17,Watford,33.53,25.3,24.6,50.1,76457,76000,19249,18710,38041
18,Hull,30.04,22.1,23.9,54.0,68498,76000,16773,18179,41048
19,Burnley,29.47,21.3,24.5,54.2,67201,76000,16202,18595,41203
20,Sunderland,27.69,20.0,23.0,57.0,63138,76000,15214,17496,43290
