,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Milan,68.05,60.4,23.0,16.6,155143,76000,45887,17482,12631
2,Juventus,67.5,59.7,23.4,16.9,153892,76000,45377,17761,12862
3,Inter,58.71,50.2,25.6,24.2,133860,76000,38139,19443,18418
4,Napoli,58.07,49.3,26.3,24.4,132402,76000,37483,19953,18564
5,Roma,54.17,45.3,26.5,28.1,123517,76000,34454,20155,21391
6,Udinese,51.91,42.6,28.0,29.4,118365,76000,32371,21252,22377
7,Lazio,50.39,41.3,27.2,31.5,114893,76000,31410,20663,23927
8,Fiorentina,46.84,37.4,28.2,34.4,106791,76000,28460,21411,26129
9,Genoa,43.11,34.0,27.3,38.7,98281,76000,25835,20776,29389
10,Palermo,41.37,32.1,27.7,40.1,94319,76000,24415,21074,30511
11,Parma,40.9,31.6,28.0,40.5,93251,76000,24002,21245,30753
12,Catania,40.88,31.3,28.6,40.1,93205,76000,23823,21736,30441
13,Cagliari,40.33,31.0,28.1,41.0,91948,76000,23537,21337,31126
14,Atalanta,40.18,30.5,29.1,40.4,91614,76000,23168,22110,30722
15,Siena,39.31,30.0,28.0,42.0,89629,76000,22778,21295,31927
16,Chievo,37.88,28.5,28.2,43.3,86361,76000,21632,21465,32903
17,Bologna,35.83,26.5,28.0,45.5,81687,76000,20144,21255,34601
18,Lecce,34.31,25.8,25.4,48.7,78231,76000,19633,19332,37035
19,Novara,30.52,22.1,25.2,52.7,69587,76000,16804,19175,40021
20,Cesena,30.1,21.4,26.2,52.5,68626,76000,16250,19876,39874
