,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,82.47,77.9,13.8,8.3,188041,76000,59185,10486,6329
2,Liverpool,74.92,69.0,17.6,13.3,170817,76000,52471,13404,10125
3,Chelsea,66.46,59.5,21.0,19.5,151524,76000,45186,15966,14848
4,Tottenham,61.59,54.1,22.6,23.3,140429,76000,41080,17189,17731
5,Man United,60.2,52.6,22.8,24.6,137250,76000,39985,17295,18720
6,Arsenal,58.7,51.2,22.4,26.4,133828,76000,38937,17017,20046
7,Everton,46.91,38.5,25.2,36.3,106949,76000,29274,19127,27599
8,Wolves,45.13,36.4,26.2,37.4,102895,76000,27661,19912,28427
9,Leicester,44.87,36.4,25.3,38.2,102313,76000,27688,19249,29063
10,Watford,39.97,31.5,25.4,43.1,91122,76000,23952,19266,32782
11,Crystal Palace,39.66,31.1,25.6,43.3,90419,76000,23656,19451,32893
12,West Ham,39.52,31.4,24.4,44.2,90110,76000,23849,18563,33588
13,Bournemouth,38.58,30.5,24.1,45.4,87952,76000,23209,18325,34466
14,Southampton,38.39,30.1,24.9,45.0,87532,76000,22866,18934,34200
15,Newcastle,34.94,26.5,25.4,48.1,79674,76000,20119,19317,36564
16,Brighton,33.61,25.1,25.4,49.4,76640,76000,19110,19310,37580
17,Fulham,31.36,23.8,22.8,53.4,71498,76000,18056,17330,40614
18,Burnley,30.15,22.0,24.3,53.6,68741,76000,16746,18503,40751
19,Cardiff,27.98,20.2,23.3,56.5,63785,76000,15365,17690,42945
20,Huddersfield,26.92,19.1,23.5,57.4,61377,76000,14501,17874,43625
