,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,60.86,51.7,27.3,20.9,138751,76000,39329,20764,15907
2,Monaco,57.06,47.7,28.1,24.2,130103,76000,36258,21329,18413
3,Marseille,53.92,44.4,28.6,27.0,122928,76000,33727,21747,20526
4,Paris SG,51.39,41.9,28.5,29.6,117162,76000,31839,21645,22516
5,Auxerre,50.58,41.0,28.7,30.3,115327,76000,31162,21841,22997
6,Lille,50.0,40.2,29.4,30.4,114002,76000,30556,22334,23110
7,Bordeaux,47.62,37.8,29.3,32.8,108580,76000,28759,22303,24938
8,Sochaux,46.74,37.1,28.9,34.0,106566,76000,28198,21972,25830
9,Lens,44.99,35.4,28.8,35.8,102587,76000,26903,21878,27219
10,Rennes,44.58,34.9,29.0,36.1,101643,76000,26531,22050,27419
11,Nantes,43.95,34.1,29.4,36.4,100216,76000,25953,22357,27690
12,Toulouse,43.29,33.5,29.3,37.2,98703,76000,25475,22278,28247
13,St Etienne,41.92,32.2,29.1,38.7,95567,76000,24474,22145,29381
14,Nice,41.52,31.8,29.0,39.1,94667,76000,24205,22052,29743
15,Metz,41.15,31.4,29.3,39.3,93814,76000,23858,22240,29902
16,Bastia,39.62,30.1,28.4,41.4,90330,76000,22906,21612,31482
17,Caen,38.83,29.3,28.7,42.1,88539,76000,22254,21777,31969
18,Strasbourg,38.0,28.4,29.0,42.7,86649,76000,21546,22011,32443
19,Ajaccio,37.07,27.5,28.8,43.7,84527,76000,20883,21878,33239
20,Istres,31.04,21.9,27.5,50.6,70772,76000,16617,20921,38462
