,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,85.2,80.9,12.9,6.2,194249,76000,61491,9776,4733
2,Real Madrid,81.92,77.1,14.4,8.5,186770,76000,58600,10970,6430
3,Valencia,54.99,46.8,24.6,28.6,125374,76000,35570,18664,21766
4,Ath Madrid,54.0,45.8,24.8,29.5,123127,76000,34771,18814,22415
5,Malaga,51.23,42.9,24.9,32.2,116794,76000,32624,18922,24454
6,Sevilla,50.33,41.9,25.2,32.9,114759,76000,31876,19131,24993
7,Ath Bilbao,47.78,39.5,25.0,35.6,108930,76000,29986,18972,27042
8,Villarreal,44.23,35.7,25.7,38.7,100851,76000,27117,19500,29383
9,Betis,42.05,33.5,25.8,40.8,95863,76000,25424,19591,30985
10,Espanol,40.98,32.6,25.2,42.2,93433,76000,24770,19123,32107
11,Getafe,40.1,31.7,25.3,43.1,91424,76000,24075,19199,32726
12,Osasuna,39.55,31.0,25.7,43.3,90176,76000,23546,19538,32916
13,Levante,38.52,30.0,25.6,44.4,87818,76000,22793,19439,33768
14,Mallorca,38.5,29.9,25.7,44.3,87781,76000,22742,19555,33703
15,Vallecano,38.14,29.6,25.5,44.8,86959,76000,22516,19411,34073
16,Sociedad,37.39,29.0,25.3,45.8,85260,76000,22023,19191,34786
17,Zaragoza,35.29,27.1,24.4,48.4,80465,76000,20628,18581,36791
18,Sp Gijon,34.41,26.2,24.6,49.2,78457,76000,19921,18694,37385
19,Granada,33.87,25.7,24.6,49.7,77217,76000,19511,18684,37805
20,Santander,31.68,23.6,24.2,52.2,72236,76000,17959,18359,39682
