,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Juventus,73.05,66.4,19.9,13.7,166559,76000,50470,15149,10381
2,Napoli,69.28,62.3,21.0,16.7,157957,76000,47328,15973,12699
3,Inter,63.61,55.7,23.6,20.6,145040,76000,42360,17960,15680
4,Roma,59.91,52.1,23.4,24.5,136586,76000,39607,17765,18628
5,Lazio,59.17,51.3,23.7,25.1,134898,76000,38974,17976,19050
6,Atalanta,59.12,51.1,24.1,24.8,134786,76000,38813,18347,18840
7,Milan,57.35,49.1,24.9,26.1,130766,76000,37288,18902,19810
8,Fiorentina,49.46,40.6,26.7,32.7,112775,76000,30828,20291,24881
9,Torino,47.8,39.1,26.2,34.7,108990,76000,29694,19908,26398
10,Sampdoria,41.61,32.9,26.1,41.0,94870,76000,25022,19804,31174
11,Genoa,39.34,30.5,26.5,43.0,89690,76000,23181,20147,32672
12,Sassuolo,39.07,30.8,24.9,44.3,89080,76000,23374,18958,33668
13,Bologna,36.99,28.2,26.4,45.4,84343,76000,21433,20044,34523
14,Udinese,36.26,27.6,25.9,46.5,82665,76000,20995,19680,35325
15,Empoli,35.14,26.9,24.8,48.3,80113,76000,20425,18838,36737
16,Cagliari,35.05,26.5,25.6,47.9,79916,76000,20165,19421,36414
17,Spal,33.42,24.8,25.9,49.3,76200,76000,18828,19716,37456
18,Parma,30.81,22.5,25.0,52.5,70258,76000,17075,19033,39892
19,Chievo,26.33,18.6,23.0,58.3,60022,76000,14168,17518,44314
20,Frosinone,25.47,17.8,22.9,59.3,58072,76000,13558,17398,45044
