,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Lyon,65.41,57.1,25.0,17.9,149145,76000,43389,18978,13633
2,Bordeaux,63.57,54.8,26.4,18.9,144934,76000,41633,20035,14332
3,Marseille,62.82,54.4,25.4,20.2,143230,76000,41307,19309,15384
4,Lille,57.39,48.4,27.0,24.6,130853,76000,36774,20531,18695
5,Paris SG,51.35,41.8,28.7,29.5,117073,76000,31747,21832,22421
6,Rennes,50.33,40.7,28.9,30.4,114762,76000,30931,21969,23100
7,Auxerre,45.57,35.9,29.0,35.1,103903,76000,27296,22015,26689
8,Montpellier,45.2,35.5,29.0,35.5,103046,76000,26998,22052,26950
9,Toulouse,44.95,35.3,28.9,35.8,102480,76000,26830,21990,27180
10,Monaco,43.96,34.4,28.8,36.9,100226,76000,26118,21872,28010
11,Lorient,42.42,32.8,28.8,38.4,96729,76000,24944,21897,29159
12,St Etienne,40.92,31.4,28.6,40.0,93304,76000,23863,21715,30422
13,Nancy,39.9,30.3,28.9,40.8,90980,76000,23004,21968,31028
14,Valenciennes,39.76,30.2,28.6,41.2,90649,76000,22963,21760,31277
15,Lens,39.49,29.9,28.9,41.3,90027,76000,22689,21960,31351
16,Sochaux,39.2,29.6,28.7,41.7,89375,76000,22533,21776,31691
17,Nice,39.19,29.6,28.8,41.6,89358,76000,22494,21876,31630
18,Le Mans,35.68,26.3,28.0,45.7,81344,76000,20025,21269,34706
19,Grenoble,30.33,21.3,27.1,51.6,69146,76000,16184,20594,39222
20,Boulogne,29.2,20.3,26.7,53.0,66580,76000,15422,20314,40264
