,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Juventus,70.18,62.8,22.2,15.0,160005,76000,47701,16902,11397
2,Milan,61.77,53.8,24.0,22.2,140833,76000,40862,18247,16891
3,Napoli,60.68,52.4,24.9,22.7,138350,76000,39817,18899,17284
4,Roma,56.87,49.1,23.3,27.6,129655,76000,37314,17713,20973
5,Fiorentina,56.08,47.4,25.9,26.6,127870,76000,36051,19717,20232
6,Inter,52.08,43.4,26.0,30.6,118733,76000,32995,19748,23257
7,Lazio,51.81,42.9,26.7,30.4,118129,76000,32600,20329,23071
8,Udinese,45.82,36.8,27.1,36.1,104477,76000,27969,20570,27461
9,Parma,43.51,34.1,28.1,37.7,99196,76000,25939,21379,28682
10,Catania,42.14,33.2,26.7,40.0,96070,76000,25250,20320,30430
11,Atalanta,40.33,31.0,28.1,41.0,91949,76000,23536,21341,31123
12,Torino,39.83,30.3,28.5,41.2,90819,76000,23060,21639,31301
13,Genoa,39.12,30.2,26.8,43.0,89197,76000,22951,20344,32705
14,Sampdoria,39.03,30.0,27.2,42.8,88991,76000,22764,20699,32537
15,Palermo,38.83,30.0,26.4,43.6,88538,76000,22821,20075,33104
16,Bologna,38.79,29.6,27.6,42.8,88448,76000,22483,20999,32518
17,Cagliari,38.11,28.9,27.8,43.4,86883,76000,21930,21093,32977
18,Chievo,36.91,27.6,28.0,44.4,84165,76000,20956,21297,33747
19,Siena,35.59,26.9,26.2,46.9,81143,76000,20411,19910,35679
20,Pescara,25.13,17.5,22.8,59.7,57289,76000,13330,17299,45371
