,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,82.42,78.0,13.1,8.8,168134,68000,53067,8933,6000
2,Dortmund,68.04,61.7,19.0,19.3,138799,68000,41950,12949,13101
3,RB Leipzig,67.22,60.7,19.4,19.9,137119,68000,41309,13192,13499
4,Leverkusen,59.54,52.4,21.4,26.2,121464,68000,35634,14562,17804
5,M'gladbach,54.04,46.4,23.0,30.6,110235,68000,31531,15642,20827
6,Wolfsburg,48.19,40.2,24.0,35.8,98303,68000,27319,16346,24335
7,Ein Frankfurt,45.83,38.0,23.4,38.6,93490,68000,25860,15910,26230
8,Schalke 04,44.43,36.4,24.0,39.6,90634,68000,24766,16336,26898
9,Hoffenheim,43.4,35.5,23.6,40.9,88541,68000,24161,16058,27781
10,Werder Bremen,40.0,32.4,22.8,44.8,81590,68000,22020,15530,30450
11,Hertha,39.98,32.0,23.8,44.1,81565,68000,21789,16198,30013
12,FC Koln,39.36,31.7,23.0,45.3,80289,68000,21540,15669,30791
13,Freiburg,36.7,28.7,23.9,47.4,74861,68000,19535,16256,32209
14,Mainz,35.33,27.5,23.4,49.1,72072,68000,18719,15915,33366
15,Union Berlin,35.13,27.2,23.8,49.0,71657,68000,18488,16193,33319
16,Augsburg,34.29,26.7,22.9,50.5,69955,68000,18135,15550,34315
17,Fortuna Dusseldorf,32.23,24.6,22.9,52.5,65744,68000,16733,15545,35722
18,Paderborn,27.55,20.7,20.5,58.8,56196,68000,14092,13920,39988
