,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,83.87,79.6,12.8,7.6,191225,76000,60506,9707,5787
2,Real Madrid,77.66,72.5,15.6,12.0,177075,76000,55080,11835,9085
3,Ath Madrid,67.1,59.3,23.3,17.3,152996,76000,45090,17726,13184
4,Sevilla,53.67,45.7,23.8,30.4,122377,76000,34756,18109,23135
5,Ath Bilbao,52.72,44.4,24.9,30.7,120197,76000,33763,18908,23329
6,Celta,49.28,40.9,25.1,34.0,112351,76000,31102,19045,25853
7,Villarreal,48.65,40.1,25.6,34.3,110923,76000,30488,19459,26053
8,Valencia,47.63,39.3,25.0,35.7,108589,76000,29857,19018,27125
9,Sociedad,43.5,34.9,25.9,39.2,99186,76000,26490,19716,29794
10,Malaga,41.39,32.7,26.0,41.2,94377,76000,24860,19797,31343
11,La Coruna,38.6,30.1,25.6,44.4,88015,76000,22864,19423,33713
12,Vallecano,37.48,29.4,24.2,46.4,85452,76000,22342,18426,35232
13,Espanol,37.11,28.8,24.8,46.3,84614,76000,21916,18866,35218
14,Eibar,36.48,28.0,25.4,46.6,83167,76000,21285,19312,35403
15,Getafe,35.2,26.9,25.0,48.1,80245,76000,20412,19009,36579
16,Las Palmas,34.74,26.4,24.9,48.7,79204,76000,20092,18928,36980
17,Betis,34.51,26.3,24.7,49.0,78694,76000,19978,18760,37262
18,Sp Gijon,34.48,26.3,24.6,49.1,78621,76000,19976,18693,37331
19,Granada,34.19,25.9,25.0,49.1,77962,76000,19647,19021,37332
20,Levante,32.25,24.1,24.5,51.4,73533,76000,18299,18636,39065
