,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,76.29,69.9,19.3,10.8,173946,76000,53091,14673,8236
2,Monaco,64.44,56.1,24.9,18.9,146931,76000,42658,18957,14385
3,Lille,56.45,47.4,27.2,25.4,128715,76000,36010,20685,19305
4,St Etienne,54.1,45.1,27.0,27.9,123338,76000,34269,20531,21200
5,Marseille,53.73,44.6,27.5,27.9,122511,76000,33872,20895,21233
6,Lyon,52.36,43.3,27.2,29.5,119381,76000,32895,20696,22409
7,Bordeaux,47.33,37.7,28.8,33.5,107915,76000,28683,21866,25451
8,Montpellier,45.76,36.3,28.3,35.4,104322,76000,27616,21474,26910
9,Toulouse,44.24,34.9,27.9,37.2,100862,76000,26551,21209,28240
10,Lorient,42.43,33.2,27.6,39.1,96745,76000,25247,21004,29749
11,Rennes,41.83,32.4,28.2,39.4,95373,76000,24641,21450,29909
12,Nantes,40.95,31.4,28.6,40.0,93370,76000,23890,21700,30410
13,Guingamp,39.7,30.4,28.0,41.6,90519,76000,23075,21294,31631
14,Nice,39.2,29.9,27.8,42.3,89383,76000,22749,21136,32115
15,Reims,37.52,28.3,27.7,44.0,85536,76000,21505,21021,33474
16,Valenciennes,37.24,28.2,27.2,44.7,84902,76000,21420,20642,33938
17,Evian Thonon Gaillard,37.05,28.1,27.0,45.0,84479,76000,21331,20486,34183
18,Bastia,36.85,27.7,27.4,44.9,84015,76000,21058,20841,34101
19,Sochaux,34.77,25.8,26.9,47.3,79268,76000,19598,20474,35928
20,Ajaccio,27.81,19.4,25.2,55.4,63403,76000,14755,19138,42107
