,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,70.49,63.5,20.9,15.5,143799,68000,43185,14244,10571
2,Dortmund,61.58,53.7,23.8,22.6,125630,68000,36492,16154,15354
3,Leverkusen,58.96,50.7,24.8,24.5,120273,68000,34468,16869,16663
4,Werder Bremen,50.5,42.1,25.3,32.6,103016,68000,28597,17225,22178
5,Hamburg,50.44,41.7,26.1,32.2,102906,68000,28384,17754,21862
6,Schalke 04,50.31,41.5,26.5,32.0,102624,68000,28208,18000,21792
7,Wolfsburg,49.1,40.5,25.8,33.7,100171,68000,27534,17569,22897
8,Stuttgart,48.86,40.1,26.2,33.7,99673,68000,27285,17818,22897
9,Hoffenheim,44.95,36.2,26.3,37.5,91695,68000,24595,17910,25495
10,Mainz,42.74,34.0,26.2,39.8,87192,68000,23120,17832,27048
11,Ein Frankfurt,39.75,30.9,26.5,42.6,81083,68000,21028,17999,28973
12,Nurnberg,39.08,30.5,25.8,43.7,79730,68000,20721,17567,29712
13,Hannover,38.16,29.4,26.2,44.4,77849,68000,20018,17795,30187
14,Kaiserslautern,37.51,28.9,25.9,45.2,76513,68000,19630,17623,30747
15,M'gladbach,36.71,28.3,25.2,46.5,74892,68000,19252,17136,31612
16,FC Koln,35.67,27.2,25.5,47.3,72772,68000,18478,17338,32184
17,Freiburg,35.21,26.7,25.7,47.7,71836,68000,18129,17449,32422
18,St Pauli,33.66,25.3,25.1,49.6,68661,68000,17191,17088,33721
