,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,73.26,66.5,20.4,13.1,167036,76000,50514,15494,9992
2,Real Madrid,64.31,56.7,22.9,20.4,146619,76000,43068,17415,15517
3,Sevilla,56.17,47.7,25.5,26.8,128067,76000,36223,19398,20379
4,Ath Madrid,55.25,46.7,25.6,27.7,125977,76000,35505,19462,21033
5,Valencia,54.63,45.9,26.3,27.8,124560,76000,34859,19983,21158
6,Villarreal,52.9,44.2,26.2,29.6,120604,76000,33564,19912,22524
7,La Coruna,44.43,35.3,27.3,37.4,101296,76000,26862,20710,28428
8,Betis,43.44,34.4,27.0,38.6,99053,76000,26178,20519,29303
9,Getafe,42.39,33.6,26.5,39.9,96643,76000,25502,20137,30361
10,Osasuna,42.02,33.0,27.0,40.0,95798,76000,25097,20507,30396
11,Espanol,41.25,32.3,26.9,40.8,94058,76000,24528,20474,30998
12,Santander,40.9,31.9,27.1,41.1,93241,76000,24223,20572,31205
13,Ath Bilbao,40.44,31.6,26.4,42.0,92199,76000,24046,20061,31893
14,Valladolid,40.14,31.2,26.7,42.1,91522,76000,23745,20287,31968
15,Almeria,39.55,30.6,26.7,42.6,90169,76000,23280,20329,32391
16,Malaga,39.33,30.6,26.3,43.2,89665,76000,23232,19969,32799
17,Mallorca,39.23,30.3,26.8,42.9,89440,76000,23026,20362,32612
18,Recreativo,35.58,26.9,25.9,47.1,81124,76000,20469,19717,35814
19,Sp Gijon,35.09,26.4,26.1,47.5,79997,76000,20064,19805,36131
20,Numancia,33.16,24.6,25.7,49.7,75607,76000,18690,19537,37773
