,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,75.38,68.8,19.7,11.5,171855,76000,52303,14946,8751
2,Marseille,60.95,52.5,25.4,22.1,138968,76000,39878,19334,16788
3,Monaco,58.29,49.3,26.8,23.8,132903,76000,37503,20394,18103
4,Lyon,56.64,47.9,26.3,25.9,129130,76000,36391,19957,19652
5,St Etienne,54.65,45.4,27.9,26.7,124607,76000,34466,21209,20325
6,Lille,49.96,40.5,28.5,31.1,113916,76000,30763,21627,23610
7,Bordeaux,48.27,38.9,28.2,32.9,110048,76000,29531,21455,25014
8,Toulouse,44.51,35.2,27.8,36.9,101473,76000,26774,21151,28075
9,Montpellier,43.06,33.7,28.1,38.2,98166,76000,25601,21363,29036
10,Rennes,42.54,33.1,28.2,38.7,96995,76000,25191,21422,29387
11,Nantes,41.68,32.3,28.2,39.5,95019,76000,24530,21429,30041
12,Lorient,40.76,31.6,27.5,40.9,92942,76000,24019,20885,31096
13,Caen,39.87,30.7,27.4,41.9,90898,76000,23356,20830,31814
14,Guingamp,39.24,29.9,27.9,42.2,89462,76000,22750,21212,32038
15,Nice,39.19,29.8,28.3,42.0,89342,76000,22614,21500,31886
16,Bastia,35.93,26.9,27.2,45.9,81929,76000,20413,20690,34897
17,Metz,35.75,26.7,27.1,46.2,81517,76000,20297,20626,35077
18,Evian Thonon Gaillard,34.95,26.0,26.9,47.1,79696,76000,19741,20473,35786
19,Reims,34.91,25.8,27.4,46.8,79590,76000,19593,20811,35596
20,Lens,33.18,24.2,26.9,48.9,75649,76000,18391,20476,37133
