,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,78.78,73.6,15.6,10.8,85087,36000,26488,5623,3889
2,Man United,68.21,61.0,21.5,17.5,73671,36000,21977,7740,6283
3,Chelsea,67.11,59.8,21.8,18.3,72483,36000,21544,7851,6605
4,Tottenham,66.4,59.5,20.7,19.8,71716,36000,21416,7468,7116
5,Liverpool,66.13,59.0,21.5,19.5,71425,36000,21229,7738,7033
6,Arsenal,62.87,55.9,20.8,23.3,67900,36000,20140,7480,8380
7,Southampton,48.29,39.8,25.5,34.7,52158,36000,14329,9171,12500
8,Everton,42.5,34.0,25.5,40.5,45898,36000,12237,9187,14576
9,Leicester,41.86,33.2,26.1,40.8,45211,36000,11941,9388,14671
10,Newcastle,38.8,29.9,26.7,43.4,41907,36000,10761,9624,15615
11,Crystal Palace,37.56,29.2,25.0,45.8,40560,36000,10526,8982,16492
12,Watford,36.79,28.3,25.4,46.3,39733,36000,10199,9136,16665
13,West Ham,35.78,27.3,25.5,47.2,38646,36000,9824,9174,17002
14,West Brom,35.14,26.4,26.3,47.3,37949,36000,9489,9482,17029
15,Bournemouth,34.55,26.4,24.5,49.1,37315,36000,9496,8827,17677
16,Stoke,33.97,25.5,25.5,49.0,36690,36000,9166,9192,17642
17,Burnley,33.84,25.5,25.0,49.5,36544,36000,9185,8989,17826
18,Swansea,31.99,23.8,24.5,51.7,34544,36000,8580,8804,18616
19,Brighton,31.88,23.3,25.7,51.0,34432,36000,8391,9259,18350
20,Huddersfield,27.9,19.7,24.6,55.7,30137,36000,7088,8873,20039
