,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Juventus,73.71,67.0,20.1,12.9,168053,76000,50915,15308,9777
2,Napoli,71.25,64.5,20.2,15.3,162457,76000,49026,15379,11595
3,Roma,67.94,61.0,20.9,18.2,154892,76000,46348,15848,13804
4,Inter,59.82,51.7,24.4,23.9,136385,76000,39279,18548,18173
5,Lazio,57.1,49.1,23.9,27.0,130183,76000,37337,18172,20491
6,Fiorentina,54.15,45.9,24.8,29.3,123467,76000,34863,18878,22259
7,Milan,53.06,44.7,25.2,30.2,120966,76000,33948,19122,22930
8,Atalanta,49.95,41.5,25.3,33.2,113890,76000,31548,19246,25206
9,Torino,48.18,39.6,25.7,34.7,109855,76000,30116,19507,26377
10,Genoa,41.65,33.1,25.6,41.3,94956,76000,25179,19419,31402
11,Sassuolo,39.69,31.3,25.2,43.5,90501,76000,23782,19155,33063
12,Sampdoria,39.08,30.8,25.0,44.3,89106,76000,23378,18972,33650
13,Udinese,38.79,30.2,25.7,44.0,88448,76000,22960,19568,33472
14,Chievo,36.73,28.0,26.1,45.9,83745,76000,21296,19857,34847
15,Bologna,35.92,27.4,25.6,47.0,81895,76000,20802,19489,35709
16,Empoli,35.02,26.8,24.6,48.6,79837,76000,20390,18667,36943
17,Cagliari,34.31,26.3,23.9,49.7,78225,76000,20011,18192,37797
18,Pescara,28.54,20.9,23.0,56.2,65070,76000,15875,17445,42680
19,Crotone,28.11,20.5,22.9,56.6,64093,76000,15571,17380,43049
20,Palermo,26.85,19.2,22.8,57.9,61221,76000,14621,17358,44021
