,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,79.26,73.5,17.2,9.3,180708,76000,55884,13056,7060
2,Monaco,64.25,56.4,23.5,20.1,146501,76000,42887,17840,15273
3,Lyon,61.54,53.5,24.1,22.4,140300,76000,40655,18335,17010
4,Marseille,51.64,42.7,26.7,30.6,117742,76000,32480,20302,23218
5,Nice,48.27,39.1,27.6,33.3,110051,76000,29690,20981,25329
6,Bordeaux,47.1,37.9,27.7,34.4,107399,76000,28771,21086,26143
7,St Etienne,45.45,36.1,28.2,35.8,103635,76000,27407,21414,27179
8,Lille,45.37,35.9,28.4,35.7,103453,76000,27294,21571,27135
9,Montpellier,43.39,34.1,27.9,38.0,98925,76000,25912,21189,28899
10,Nantes,43.15,33.6,28.7,37.7,98387,76000,25522,21821,28657
11,Toulouse,43.14,33.7,28.3,38.0,98351,76000,25605,21536,28859
12,Rennes,43.07,33.6,28.5,38.0,98191,76000,25521,21628,28851
13,Guingamp,41.39,32.2,27.6,40.2,94364,76000,24455,20999,30546
14,Angers,39.98,30.4,28.8,40.8,91149,76000,23095,21864,31041
15,Lorient,38.59,29.6,26.9,43.5,87981,76000,22503,20472,33025
16,Nancy,37.98,28.6,28.1,43.3,86589,76000,21751,21336,32913
17,Caen,37.92,28.9,27.2,43.9,86469,76000,21929,20682,33389
18,Dijon,35.83,27.0,26.3,46.6,81684,76000,20557,20013,35430
19,Bastia,32.82,23.8,26.9,49.2,74831,76000,18122,20465,37413
20,Metz,30.84,22.3,25.5,52.2,70305,76000,16975,19380,39645
