,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,70.55,63.2,22.0,14.8,160850,76000,48045,16715,11240
2,Lille,58.75,49.8,26.9,23.3,133946,76000,37842,20420,17738
3,Lyon,56.46,47.6,26.7,25.8,128720,76000,36151,20267,19582
4,Marseille,56.36,47.4,26.8,25.8,128494,76000,36037,20383,19580
5,St Etienne,54.0,44.9,27.4,27.8,123131,76000,34114,20789,21097
6,Montpellier,51.4,42.1,27.8,30.0,117198,76000,32011,21165,22824
7,Bordeaux,50.18,40.7,28.6,30.8,114419,76000,30905,21704,23391
8,Toulouse,47.25,37.8,28.4,33.8,107725,76000,28718,21571,25711
9,Rennes,47.03,37.5,28.7,33.9,107235,76000,28485,21780,25735
10,Lorient,43.57,34.1,28.3,37.6,99342,76000,25953,21483,28564
11,Nice,43.26,33.7,28.6,37.7,98624,76000,25633,21725,28642
12,Valenciennes,41.9,32.8,27.5,39.8,95541,76000,24892,20865,30243
13,Evian Thonon Gaillard,38.79,29.7,27.4,43.0,88432,76000,22546,20794,32660
14,Nancy,37.81,28.4,28.2,43.4,86206,76000,21593,21427,32980
15,Bastia,37.49,28.3,27.4,44.2,85468,76000,21538,20854,33608
16,Ajaccio,36.42,27.1,27.8,45.0,83042,76000,20626,21164,34210
17,Sochaux,35.23,26.0,27.6,46.4,80330,76000,19797,20939,35264
18,Troyes,34.8,25.7,27.1,47.1,79333,76000,19568,20629,35803
19,Reims,34.77,25.7,27.2,47.1,79281,76000,19543,20652,35805
20,Brest,32.76,23.7,27.2,49.1,74691,76000,18011,20658,37331
