,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,81.28,76.1,15.6,8.3,185326,76000,57831,11833,6336
2,Real Madrid,77.47,71.7,17.3,11.0,176623,76000,54500,13123,8377
3,Valencia,54.79,46.5,24.9,28.6,124920,76000,35340,18900,21760
4,Sevilla,53.5,45.3,24.7,30.0,121985,76000,34392,18809,22799
5,Ath Madrid,52.89,44.5,25.3,30.3,120595,76000,33796,19207,22997
6,Villarreal,52.48,44.0,25.3,30.6,119653,76000,33468,19249,23283
7,Ath Bilbao,46.46,37.8,25.9,36.3,105925,76000,28747,19684,27569
8,Getafe,42.81,34.2,25.8,40.0,97608,76000,25992,19632,30376
9,Mallorca,42.66,33.9,26.2,39.9,97272,76000,25794,19890,30316
10,Espanol,40.6,31.9,26.2,41.9,92579,76000,24214,19937,31849
11,Osasuna,40.25,31.5,26.2,42.3,91763,76000,23961,19880,32159
12,Malaga,39.95,31.4,25.7,42.9,91097,76000,23864,19505,32631
13,Zaragoza,39.19,30.7,25.6,43.8,89364,76000,23307,19443,33250
14,Sociedad,38.62,29.9,26.0,44.0,88060,76000,22761,19777,33462
15,La Coruna,37.83,29.1,26.2,44.7,86256,76000,22118,19902,33980
16,Sp Gijon,37.16,28.8,25.2,46.0,84731,76000,21860,19151,34989
17,Hercules,36.73,28.3,25.4,46.4,83746,76000,21493,19267,35240
18,Santander,36.2,27.7,25.5,46.8,82546,76000,21063,19357,35580
19,Almeria,34.56,26.2,25.1,48.7,78788,76000,19909,19061,37030
20,Levante,32.41,24.1,24.9,51.0,73886,76000,18313,18947,38740
