,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,82.35,77.7,14.0,8.3,4694,1900,1476,266,158
2,Liverpool,73.89,67.7,18.5,13.8,4212,1900,1287,351,262
3,Chelsea,67.3,60.7,19.8,19.5,3836,1900,1153,377,370
4,Tottenham,62.04,54.4,23.0,22.6,3536,1900,1033,437,430
5,Man United,60.65,52.8,23.4,23.7,3457,1900,1004,445,451
6,Arsenal,57.95,50.3,22.9,26.8,3303,1900,956,435,509
7,Everton,46.67,38.3,25.1,36.6,2660,1900,728,476,696
8,Wolves,45.81,37.5,25.0,37.5,2611,1900,712,475,713
9,Leicester,43.88,34.9,26.8,38.3,2501,1900,664,509,727
10,Watford,40.75,32.4,25.0,42.6,2323,1900,616,475,809
11,Crystal Palace,40.28,31.5,26.3,42.2,2296,1900,599,499,802
12,Bournemouth,39.53,31.3,24.8,43.9,2253,1900,594,471,835
13,Southampton,38.54,30.2,25.2,44.7,2197,1900,573,478,849
14,West Ham,37.77,29.4,25.2,45.4,2153,1900,558,479,863
15,Brighton,34.42,26.0,25.3,48.7,1962,1900,494,480,926
16,Newcastle,33.98,24.7,27.7,47.5,1937,1900,470,527,903
17,Fulham,32.11,24.5,22.9,52.6,1830,1900,465,435,1000
18,Burnley,29.98,21.5,25.5,53.0,1709,1900,408,485,1007
19,Cardiff,27.26,19.2,24.2,56.6,1554,1900,365,459,1076
20,Huddersfield,25.96,18.4,22.8,58.8,1480,1900,349,433,1118
