,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,66.8,59.5,22.0,18.5,57116,28500,16948,6272,5280
2,Arsenal,65.57,58.1,22.5,19.5,56062,28500,16554,6400,5546
3,Chelsea,59.57,51.3,24.7,23.9,50932,28500,14627,7051,6822
4,Man United,58.34,49.8,25.7,24.6,49877,28500,14188,7313,6999
5,Tottenham,57.51,49.2,24.9,25.9,49174,28500,14024,7102,7374
6,Liverpool,56.7,48.3,25.1,26.5,48476,28500,13771,7163,7566
7,Southampton,51.01,42.1,26.8,31.1,43611,28500,11992,7635,8873
8,Everton,47.11,38.6,25.6,35.8,40281,28500,10998,7287,10215
9,Leicester,46.85,38.1,26.2,35.7,40055,28500,10859,7478,10163
10,Bournemouth,40.8,32.0,26.2,41.7,34882,28500,9134,7480,11886
11,West Ham,40.67,32.1,25.8,42.1,34776,28500,9141,7353,12006
12,Crystal Palace,39.85,31.1,26.3,42.6,34074,28500,8855,7509,12136
13,Swansea,39.5,30.7,26.2,43.0,33769,28500,8763,7480,12257
14,Stoke,38.79,29.6,27.5,42.9,33168,28500,8448,7824,12228
15,Watford,36.98,28.2,26.3,45.5,31615,28500,8037,7504,12959
16,Norwich,36.73,28.0,26.3,45.7,31402,28500,7968,7498,13034
17,Newcastle,35.46,27.0,25.5,47.6,30320,28500,7687,7259,13554
18,West Brom,34.18,25.4,26.4,48.2,29227,28500,7238,7513,13749
19,Sunderland,32.45,23.9,25.6,50.5,27747,28500,6820,7287,14393
20,Aston Villa,30.06,21.8,24.8,53.4,25702,28500,6214,7060,15226
