,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,67.0,59.7,22.0,18.4,152758,76000,45356,16690,13954
2,Arsenal,65.42,57.9,22.7,19.4,149157,76000,43969,17250,14781
3,Chelsea,59.85,51.5,25.0,23.5,136468,76000,39155,19003,17842
4,Man United,58.37,49.8,25.6,24.5,133074,76000,37863,19485,18652
5,Tottenham,57.38,49.0,25.2,25.8,130827,76000,37225,19152,19623
6,Liverpool,56.41,47.9,25.5,26.6,128623,76000,36419,19366,20215
7,Southampton,51.04,42.1,26.8,31.1,116366,76000,32012,20330,23658
8,Everton,47.1,38.4,26.2,35.4,107390,76000,29162,19904,26934
9,Leicester,46.75,37.9,26.4,35.6,106599,76000,28836,20091,27073
10,Bournemouth,41.29,32.4,26.6,41.0,94132,76000,24634,20230,31136
11,West Ham,40.77,32.1,26.0,41.9,92964,76000,24401,19761,31838
12,Crystal Palace,40.25,31.4,26.5,42.1,91768,76000,23873,20149,31978
13,Swansea,39.62,30.8,26.4,42.8,90323,76000,23410,20093,32497
14,Stoke,38.77,29.7,27.3,43.0,88403,76000,22560,20723,32717
15,Norwich,36.72,28.0,26.2,45.8,83715,76000,21268,19911,34821
16,Watford,36.59,27.8,26.5,45.8,83420,76000,21104,20108,34788
17,Newcastle,35.19,26.7,25.3,47.9,80237,76000,20329,19250,36421
18,West Brom,33.86,25.2,26.0,48.8,77201,76000,19151,19748,37101
19,Sunderland,32.17,23.8,25.2,51.0,73345,76000,18054,19183,38763
20,Aston Villa,30.08,21.8,24.9,53.4,68572,76000,16561,18889,40550
